,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
53,"Last Christmas",Wham!,3628548,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
54,"Eastside (with Halsey & Khalid)","benny blanco",3603278,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
55,"Time (feat. Meek Mill)","Lil Baby",3596886,https://open.spotify.com/track/1Szfm2XAx3Kgl55dyl8sTU
56,"Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)","Frank Sinatra",3546746,https://open.spotify.com/track/7inXu0Eaeg02VsM8kHNvzM
57,"Calling My Spirit","Kodak Black",3517280,https://open.spotify.com/track/6bXSYxP6WDlNCr6Jk1H3MW
58,Mistletoe,"Justin Bieber",3476331,https://open.spotify.com/track/7xapw9Oy21WpfEcib2ErSA
59,"Do They Know It's Christmas? - 1984 Version","Band Aid",3447341,https://open.spotify.com/track/0247StOpd3AkeBQzANX4Zf
60,"Never Recover (Lil Baby & Gunna, Drake)","Lil Baby",3426072,https://open.spotify.com/track/6wWaVoUOzLQJHd3bWAUpdZ
61,"Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding",3362556,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA
62,"Saturday Nights",Khalid,3311676,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8
63,breathin,"Ariana Grande",3277988,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
64,"Wonderful Christmastime [Edited Version] - Remastered 2011 / Edited Version","Paul McCartney",3277912,https://open.spotify.com/track/7Lbxvt42JsNSKVCaN63qhD
65,"The Christmas Song (Merry Christmas To You)","Nat King Cole",3252572,https://open.spotify.com/track/4PS1e8f2LvuTFgUs1Cn3ON
66,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,3226565,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
67,idontwannabeyouanymore,"Billie Eilish",3164811,https://open.spotify.com/track/41zXlQxzTi6cGAjpOXyLYH
68,"Faucet Failure","Ski Mask The Slump God",3143603,https://open.spotify.com/track/1ThmUihH9dF8EV08ku5AXN
69,"White Christmas","Bing Crosby",3122914,https://open.spotify.com/track/4so0Wek9Ig1p6CRCHuINwW
70,"All Girls Are The Same","Juice WRLD",3065305,https://open.spotify.com/track/0XySogm94T51XF5F2jumXm
71,STOOPID,6ix9ine,3042511,https://open.spotify.com/track/1jQvUmf16VE9WQCPuK2e8K
72,bellyache,"Billie Eilish",3036048,https://open.spotify.com/track/51NFxnQvaosfDDutk0tams
73,"High Hopes","Panic! At The Disco",2965155,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
74,"1400 / 999 Freestyle","Trippie Redd",2964412,https://open.spotify.com/track/75lcPkAkUsKWHGBlGM476R
75,"Ready (feat. Gunna)","Lil Baby",2956429,https://open.spotify.com/track/4F6yN5FsFW10Ucx7cLCzBh
76,"I Fall Apart","Post Malone",2948611,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
77,Intro,"Meek Mill",2937129,https://open.spotify.com/track/3EQ9QP2E7wjYQba8OSPBst
78,"Don't Come Out The House (with 21 Savage)","Metro Boomin",2923446,https://open.spotify.com/track/2Grb4G6t9VIqo6moKUloom
79,KANGA,6ix9ine,2902636,https://open.spotify.com/track/0EwS8XJQspgrj1zSUXhFkl
80,"God is a woman","Ariana Grande",2887897,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
81,"rockstar (feat. 21 Savage)","Post Malone",2879970,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
82,Shallow,"Lady Gaga",2878655,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
83,"I Like It","Cardi B",2874000,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
84,"Underneath the Tree","Kelly Clarkson",2873869,https://open.spotify.com/track/3nAp4IvdMPPWEH9uuXFFV5
85,changes,XXXTENTACION,2860731,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
86,BEBE,6ix9ine,2856092,https://open.spotify.com/track/7ATATJztoWLcqDAcVVof0C
87,"Psycho (feat. Ty Dolla $ign)","Post Malone",2822943,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
88,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",YG,2817480,https://open.spotify.com/track/0ZNrc4kNeQYD9koZ3KvCsy
89,"Holly Jolly Christmas","Michael Bublé",2808908,https://open.spotify.com/track/6tjituizSxwSmBB5vtgHZE
90,"Bohemian Rhapsody - Remastered 2011",Queen,2800636,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J
91,"In My Feelings",Drake,2797721,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
92,"Respect the Game","Meek Mill",2776325,https://open.spotify.com/track/6pUBrvKfJL4qmn95mxU7rC
93,Noticed,"Lil Mosey",2760166,https://open.spotify.com/track/6JQvHMSaR8flFsN53ypOfP
94,"God's Plan",Drake,2741456,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
95,"Tic Tac Toe (feat. Kodak Black)","Meek Mill",2739891,https://open.spotify.com/track/35J4wXQeRuHNOEArMy6FOe
96,"No Stylist (feat. Drake)","French Montana",2733031,https://open.spotify.com/track/04MLEeAMuV9IlHEsD8vF6A
97,"Space Cadet (feat. Gunna)","Metro Boomin",2700154,https://open.spotify.com/track/1fewSx2d5KIZ04wsooEBOz
98,"Lean Wit Me","Juice WRLD",2699834,https://open.spotify.com/track/29tc0GbW0pTSBZSCZF3NWk
99,"Lonesome Train","Stan Kenton",2697396,https://open.spotify.com/track/46DwQbCUzWr4bT0Uu2lDK8
100,Youngblood,"5 Seconds of Summer",2645864,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
101,"I Love It (& Lil Pump)","Kanye West",2634298,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
102,"Baby, It's Cold Outside (feat. Meghan Trainor)","Brett Eldredge",2634244,https://open.spotify.com/track/5Q2P43CJra0uRAogjHyJDK
103,"Have Yourself A Merry Little Christmas","Sam Smith",2627645,https://open.spotify.com/track/1Qi2wh8fFgDV7tl4Sj3f2K
104,YOSEMITE,"Travis Scott",2603834,https://open.spotify.com/track/7lAK3oHbfEnvUQWosrMMpR
105,"no tears left to cry","Ariana Grande",2599461,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
106,"ocean eyes","Billie Eilish",2575923,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU
107,"Ruin My Life","Zara Larsson",2574962,https://open.spotify.com/track/5tAa8Uaqr4VvA3693mbIhU
108,Trauma,"Meek Mill",2551199,https://open.spotify.com/track/45CCe4gu08OYG1I4MH8TU6
109,"Blue Christmas","Elvis Presley",2545252,https://open.spotify.com/track/3QiAAp20rPC3dcAtKtMaqQ
110,"Crush A Lot","Lil Baby",2542668,https://open.spotify.com/track/39RWYLt6hgk9BbhkDgaHW9
111,"Santa Baby","Ariana Grande",2498038,https://open.spotify.com/track/6YJdPrH3i2POzu7hdHIRrb
112,"Feliz Navidad","José Feliciano",2487692,https://open.spotify.com/track/7taXf5odg9xCAZERYfyOkS
113,"Bad Liar","Imagine Dragons",2487435,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3
114,"24/7 (feat. Ella Mai)","Meek Mill",2461741,https://open.spotify.com/track/6irE4Fbjbry3czv7mTxVSB
115,"Beautiful (feat. Camila Cabello)",Bazzi,2456330,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
116,STARGAZING,"Travis Scott",2452129,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m
