,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Mo Bamba","Sheck Wes",11104559,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr
2,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",10807390,https://open.spotify.com/track/7l3E7lcozEodtVsSTCkcaA
3,"SICKO MODE","Travis Scott",10583376,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
4,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",10215607,https://open.spotify.com/track/1A6OTy97kk0mMdm78rHsm8
5,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",9509849,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
6,"Arms Around You (feat. Maluma & Swae Lee)",XXXTENTACION,8929104,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh
7,"Without Me",Halsey,8845578,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
8,"MIA (feat. Drake)","Bad Bunny",7685437,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
9,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",7524821,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
10,"Lucid Dreams","Juice WRLD",7128774,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
11,Happier,Marshmello,6855840,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
12,Better,Khalid,6785604,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
13,"when the party's over","Billie Eilish",6419730,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI
14,"Fine China",Future,6380922,https://open.spotify.com/track/5274I4mUMnYczyeXkGDWZN
15,SAD!,XXXTENTACION,5900908,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
16,Moonlight,XXXTENTACION,5825854,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
17,Money,"Cardi B",5752909,https://open.spotify.com/track/2GGMabyHXnJmjY6CXhhB2e
18,Nonstop,Drake,5504903,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
19,"Never Recover (Lil Baby & Gunna, Drake)","Lil Baby",5471645,https://open.spotify.com/track/6wWaVoUOzLQJHd3bWAUpdZ
20,"Better Now","Post Malone",5299677,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
21,"Wake Up in the Sky","Gucci Mane",5162299,https://open.spotify.com/track/0QIjsbm2fh1cJ45XO9eGqq
22,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,5141669,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
23,"Falling Down - Bonus Track","Lil Peep",5032741,https://open.spotify.com/track/0Dn40gxVCMo5TkgS8Ik18Q
24,Noticed,"Lil Mosey",4886542,https://open.spotify.com/track/6JQvHMSaR8flFsN53ypOfP
25,Shallow,"Lady Gaga",4800562,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
26,"Leave Me Alone","Flipp Dinero",4624010,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g
27,"I Love It (& Lil Pump)","Kanye West",4580811,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
28,"Taste (feat. Offset)",Tyga,4553590,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
29,"Yes Indeed","Lil Baby",4536818,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
30,"No Stylist (feat. Drake)","French Montana",4509099,https://open.spotify.com/track/04MLEeAMuV9IlHEsD8vF6A
31,"In My Feelings",Drake,4336979,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
32,"Jocelyn Flores",XXXTENTACION,4198781,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
33,"I Like It","Cardi B",4021342,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
34,"Eastside (with Halsey & Khalid)","benny blanco",3935895,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
35,"New Patek","Lil Uzi Vert",3916992,https://open.spotify.com/track/0Fpen1PTuEnCmOJtUU9Iud
36,Topanga,"Trippie Redd",3886937,https://open.spotify.com/track/3tcnWNjEXyXCbFR9zonrX2
