,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",16742039,https://open.spotify.com/track/7l3E7lcozEodtVsSTCkcaA
2,"MIA (feat. Drake)","Bad Bunny",12325911,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
3,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",10370551,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
4,"Mo Bamba","Sheck Wes",9558873,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr
5,"SICKO MODE","Travis Scott",8946445,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
6,"Without Me",Halsey,8059176,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
7,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",7894134,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
8,"Lucid Dreams","Juice WRLD",7651838,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
9,Happier,Marshmello,7406367,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
10,"Never Recover (Lil Baby & Gunna, Drake)","Lil Baby",7168138,https://open.spotify.com/track/6wWaVoUOzLQJHd3bWAUpdZ
11,Shallow,"Lady Gaga",6847180,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
12,"Falling Down - Bonus Track","Lil Peep",6732241,https://open.spotify.com/track/0Dn40gxVCMo5TkgS8Ik18Q
13,Moonlight,XXXTENTACION,6554874,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
14,"PASS OUT (feat. 21 Savage)",Quavo,6365102,https://open.spotify.com/track/3edzl4zvKFi0D3iuF6cs2f
15,"I Love It (& Lil Pump)","Kanye West",6302058,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
16,SAD!,XXXTENTACION,6269116,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
17,Nonstop,Drake,5934770,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
18,"Mona Lisa (feat. Kendrick Lamar)","Lil Wayne",5861376,https://open.spotify.com/track/0dbTQYW3Ad1FTzIA9t90E8
19,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,5853692,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
20,Better,Khalid,5731473,https://open.spotify.com/track/4T3fNx3CgwDRRYgmFCbD4J
21,"No Stylist (feat. Drake)","French Montana",5625835,https://open.spotify.com/track/04MLEeAMuV9IlHEsD8vF6A
22,STOOPID,6ix9ine,5620111,https://open.spotify.com/track/1jQvUmf16VE9WQCPuK2e8K
23,"Better Now","Post Malone",5387979,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
24,"Wake Up in the Sky","Gucci Mane",5229420,https://open.spotify.com/track/0QIjsbm2fh1cJ45XO9eGqq
25,"This Feeling (feat. Kelsea Ballerini)","The Chainsmokers",5126602,https://open.spotify.com/track/15kQGEy89K8deJcZVFEn0N
26,"Eastside (with Halsey & Khalid)","benny blanco",4919442,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
27,"Yes Indeed","Lil Baby",4831130,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
28,"In My Feelings",Drake,4727993,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
29,Noticed,"Lil Mosey",4710929,https://open.spotify.com/track/7d6XJZjnm7iWcKwYL9z5kC
30,"Taste (feat. Offset)",Tyga,4560723,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
31,"New Patek","Lil Uzi Vert",4512170,https://open.spotify.com/track/0Fpen1PTuEnCmOJtUU9Iud
32,"Jocelyn Flores",XXXTENTACION,4341632,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
33,"WORKIN ME",Quavo,4125622,https://open.spotify.com/track/4MAsYGSgxsaj73dC2lvFC4
34,"Leave Me Alone","Flipp Dinero",4101023,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g
35,"I Like It","Cardi B",4089157,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
36,"Lucky You (feat. Joyner Lucas)",Eminem,4053123,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
37,"FLIP THE SWITCH (feat. Drake)",Quavo,3977385,https://open.spotify.com/track/1rlIrbWboTRGeKfHhgbJRZ
38,Uproar,"Lil Wayne",3934816,https://open.spotify.com/track/3wScL5W8H40zzCKN0atfBk
39,Trip,"Ella Mai",3898132,https://open.spotify.com/track/6CTWathupIiDs7U4InHnDA
40,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,3818375,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
41,"Don't Cry (feat. XXXTENTACION)","Lil Wayne",3804769,https://open.spotify.com/track/5BQrp63SHCVf4bzCzJePne
42,"All Girls Are The Same","Juice WRLD",3706610,https://open.spotify.com/track/0XySogm94T51XF5F2jumXm
43,"Lean Wit Me","Juice WRLD",3662811,https://open.spotify.com/track/29tc0GbW0pTSBZSCZF3NWk
44,changes,XXXTENTACION,3618479,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
45,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",YG,3553564,https://open.spotify.com/track/0ZNrc4kNeQYD9koZ3KvCsy
