,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"All Mine","Kanye West",15792629,https://open.spotify.com/track/3qnoOm4fwZPBS116f5hpgF
2,"Ghost Town","Kanye West",13527840,https://open.spotify.com/track/6Bg7MznA9X0dIhlAsLyBYj
3,Yikes,"Kanye West",13165232,https://open.spotify.com/track/2r4JRwcbIeuAzWjH4YXlLs
4,"Lucid Dreams","Juice WRLD",11957949,https://open.spotify.com/track/0X8DcetL926BYiPJYstJTc
5,"Nice For What",Drake,10489715,https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN
6,"Wouldn't Leave","Kanye West",10139114,https://open.spotify.com/track/3dG6tjetoR4GMmUGZUprLt
7,"Yes Indeed","Lil Baby",10110671,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
8,"I Thought About Killing You","Kanye West",9503189,https://open.spotify.com/track/6EuE9M1viu9gkdFSafia9o
9,"Violent Crimes","Kanye West",9491374,https://open.spotify.com/track/2VYb3Fb5iK5Y8HGZ8oEEkp
10,"Better Now","Post Malone",9314033,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
11,"No Mistakes","Kanye West",8773808,https://open.spotify.com/track/1DdgqEZk4Hqfpl3drdXJun
12,"I Like It","Cardi B",8430106,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
13,"Psycho (feat. Ty Dolla $ign)","Post Malone",7902801,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
14,"This Is America","Childish Gambino",7606188,https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9
15,"God's Plan",Drake,7579426,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
16,"I'm Upset",Drake,7201826,https://open.spotify.com/track/54oMZ3blwWwuPN4wEoG5mk
17,"Look Alive (feat. Drake)","BlocBoy JB",6555677,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
18,"All Girls Are The Same","Juice WRLD",5850926,https://open.spotify.com/track/3H2JThgdBxezwj1wwafQS8
19,"Girls Like You (feat. Cardi B)","Maroon 5",5686217,https://open.spotify.com/track/6FRLCMO5TUHTexlWo8ym1W
20,"Taste (feat. Offset)",Tyga,5556732,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
21,"rockstar (feat. 21 Savage)","Post Malone",5530562,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
22,"Back To You","Selena Gomez",5363011,https://open.spotify.com/track/514rhnksEwHUh6LxXsQ4Y9
23,SAD!,XXXTENTACION,5091216,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
24,"Plug Walk","Rich The Kid",5026890,https://open.spotify.com/track/6mAz8D1TmlTuef90dbNIiZ
25,"Praise The Lord (Da Shine) (feat. Skepta)","A$AP Rocky",5015125,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
26,"no tears left to cry","Ariana Grande",4919404,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
27,"Ric Flair Drip (& Metro Boomin)",Offset,4871461,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
28,"Ball For Me (feat. Nicki Minaj)","Post Malone",4720539,https://open.spotify.com/track/6IaieqiCVvsNvEt6Y7yOFa
29,"lovely (with Khalid)","Billie Eilish",4689213,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
30,"Playinwitme (feat. Kehlani)",KYLE,4663429,https://open.spotify.com/track/4F1yvJfQ7gJkrcgFJQDjOr
31,"Walk It Talk It",Migos,4523674,https://open.spotify.com/track/6n4U3TlzUGhdSFbUUhTvLP
32,Youngblood,"5 Seconds of Summer",4513027,https://open.spotify.com/track/55S2PQgSMYAhgoTCcGCDfw
33,Paranoid,"Post Malone",4492405,https://open.spotify.com/track/3fpVWegR6YOS1Yk5HSMYIq
34,OTW,Khalid,4437503,https://open.spotify.com/track/6Hgh47WXVKtXN5zGOu0hjI
35,"Love Lies (with Normani)",Khalid,4265037,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
36,"Powerglide (feat. Juicy J) - From SR3MM","Rae Sremmurd",4178108,https://open.spotify.com/track/1BuZAIO8WZpavWVbbq3Lci
37,JAPAN,"Famous Dex",4148552,https://open.spotify.com/track/5PTG6rrL6EPFD9E2QMI2pl
38,"Spoil My Night (feat. Swae Lee)","Post Malone",4117490,https://open.spotify.com/track/5VuxWXbt7XENQCtE9TzpTv
39,"I Fall Apart","Post Malone",4104481,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
40,"Shoota (feat. Lil Uzi Vert)","Playboi Carti",4078960,https://open.spotify.com/track/2BJSMvOGABRxokHKB0OI8i
41,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",4063266,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn
42,"Candy Paint","Post Malone",3979873,https://open.spotify.com/track/32lItqlMi4LBhb4k0BaSaC
43,Stay,"Post Malone",3915791,https://open.spotify.com/track/4H7WNRErSbONkM06blBoGc
