,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"SICKO MODE","Travis Scott",11933112,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
2,"In My Feelings",Drake,11698385,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
3,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,11296848,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
4,"Lucid Dreams","Juice WRLD",10637817,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
5,breathin,"Ariana Grande",9883136,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
6,"God is a woman","Ariana Grande",8513381,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
7,SAD!,XXXTENTACION,7492501,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
8,Nonstop,Drake,7249948,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
9,"Taste (feat. Offset)",Tyga,7223990,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
10,STARGAZING,"Travis Scott",7038441,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m
11,"No Brainer","DJ Khaled",6764853,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
12,"I Like It","Cardi B",6627280,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
13,Moonlight,XXXTENTACION,6579218,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
14,"Eastside (with Halsey & Khalid)","benny blanco",6514773,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
15,"Better Now","Post Malone",6300414,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
16,everytime,"Ariana Grande",5991678,https://open.spotify.com/track/0WdR2AyLW1Drd3OUdwezM0
17,"Yes Indeed","Lil Baby",5862095,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
18,"no tears left to cry","Ariana Grande",5752656,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
19,"Girls Like You (feat. Cardi B)","Maroon 5",5708297,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
20,"Promises (with Sam Smith)","Calvin Harris",5506503,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
21,sweetener,"Ariana Grande",5376981,https://open.spotify.com/track/70khXICDeTTxgYtw3EysKH
22,Happier,Marshmello,5027138,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
23,Youngblood,"5 Seconds of Summer",4670130,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
24,"Wasted (feat. Lil Uzi Vert)","Juice WRLD",4606007,https://open.spotify.com/track/3obgSF06ki98lYNLNq5vCB
25,"Psycho (feat. Ty Dolla $ign)","Post Malone",4602101,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
26,"Taking A Walk","Trippie Redd",4563125,https://open.spotify.com/track/4mHgYpuGHu99Mw69E83CP2
27,"Nice For What",Drake,4542018,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw
28,"God's Plan",Drake,4504311,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
29,R.E.M,"Ariana Grande",4479680,https://open.spotify.com/track/1xWH8zYtDeS9mW1JJG23VZ
30,"All Girls Are The Same","Juice WRLD",4446216,https://open.spotify.com/track/0XySogm94T51XF5F2jumXm
31,"Lean Wit Me","Juice WRLD",4431545,https://open.spotify.com/track/29tc0GbW0pTSBZSCZF3NWk
32,"Jocelyn Flores",XXXTENTACION,4409287,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
33,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",YG,4356749,https://open.spotify.com/track/0ZNrc4kNeQYD9koZ3KvCsy
34,"pete davidson","Ariana Grande",4210955,https://open.spotify.com/track/0XOnMqLQDO89iAg7dWWwnG
35,"goodnight n go","Ariana Grande",4111133,https://open.spotify.com/track/14kYOiFVPb7E7NfFbqhdln
36,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,4071561,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
