,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"thank u, next","Ariana Grande",23636303,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
2,BAD!,XXXTENTACION,12056995,https://open.spotify.com/track/4CH66Rxcjcj3VBHwmIBj4T
3,"Mo Bamba","Sheck Wes",10919737,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr
4,"SICKO MODE","Travis Scott",10216172,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
5,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",9256307,https://open.spotify.com/track/7l3E7lcozEodtVsSTCkcaA
6,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",8978592,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
7,"Without Me",Halsey,8880320,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
8,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",8026446,https://open.spotify.com/track/1A6OTy97kk0mMdm78rHsm8
9,"Armed And Dangerous","Juice WRLD",7382741,https://open.spotify.com/track/6SAKXCj5jyF6IgPCPbZ5ra
10,"Lucid Dreams","Juice WRLD",6690533,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
11,Topanga,"Trippie Redd",6539190,https://open.spotify.com/track/5aXgz1oKK8Q9z9xvTmSnrO
12,"Arms Around You (feat. Maluma & Swae Lee)",XXXTENTACION,6313753,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh
13,Happier,Marshmello,5985354,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
14,"Wake Up in the Sky","Gucci Mane",5939560,https://open.spotify.com/track/0QIjsbm2fh1cJ45XO9eGqq
15,"when the party's over","Billie Eilish",5836555,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI
16,"Falling Down - Bonus Track","Lil Peep",5661752,https://open.spotify.com/track/4jvjzW7Hm0yK4LvvE0Paz9
17,SAD!,XXXTENTACION,5589943,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
18,"MIA (feat. Drake)","Bad Bunny",5580819,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
19,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",5555669,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
20,Better,Khalid,5431698,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
21,"10 Freaky Girls (with 21 Savage)","Metro Boomin",5281841,https://open.spotify.com/track/43lYaovU2FoeuBMNusVVVW
22,Moonlight,XXXTENTACION,5251653,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
23,"1400 / 999 Freestyle","Trippie Redd",5243806,https://open.spotify.com/track/75lcPkAkUsKWHGBlGM476R
24,"Leave Me Alone","Flipp Dinero",5031462,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g
25,"Better Now","Post Malone",4797721,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
26,Nonstop,Drake,4633286,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
27,"Don't Come Out The House (with 21 Savage)","Metro Boomin",4616026,https://open.spotify.com/track/1m6lqaLvUTxPjOo98fJH8U
28,"Bad Liar","Imagine Dragons",4495534,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3
29,"Never Recover (Lil Baby & Gunna, Drake)","Lil Baby",4490269,https://open.spotify.com/track/6wWaVoUOzLQJHd3bWAUpdZ
30,Money,"Cardi B",4429075,https://open.spotify.com/track/2GGMabyHXnJmjY6CXhhB2e
31,"Fine China",Future,4412265,https://open.spotify.com/track/5274I4mUMnYczyeXkGDWZN
32,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,4301988,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
33,"Space Cadet (feat. Gunna)","Metro Boomin",4262567,https://open.spotify.com/track/5gub2bpJRgJP4m4MliqtdV
34,breathin,"Ariana Grande",4254830,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
35,"Taste (feat. Offset)",Tyga,4178895,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
36,"Jocelyn Flores",XXXTENTACION,4062538,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
37,Shallow,"Lady Gaga",3895060,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
38,"Yes Indeed","Lil Baby",3890815,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
39,"Love Scars 3","Trippie Redd",3885851,https://open.spotify.com/track/0AcicReEGm1qcENjqzh1Tg
40,Noticed,"Lil Mosey",3742456,https://open.spotify.com/track/6JQvHMSaR8flFsN53ypOfP
41,"Eastside (with Halsey & Khalid)","benny blanco",3732304,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
42,"I Love It (& Lil Pump)","Kanye West",3700001,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
43,"Ruin My Life","Zara Larsson",3670990,https://open.spotify.com/track/5tAa8Uaqr4VvA3693mbIhU
44,"Bohemian Rhapsody - Remastered 2011",Queen,3630467,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J
45,Natural,"Imagine Dragons",3568864,https://open.spotify.com/track/2FY7b99s15jUprqC0M5NCT
46,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,3559159,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
47,"REEL IT IN",Aminé,3480401,https://open.spotify.com/track/5qHirGR7M9tdm6C17DlzSY
48,"God is a woman","Ariana Grande",3424195,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
49,"All Girls Are The Same","Juice WRLD",3396435,https://open.spotify.com/track/0XySogm94T51XF5F2jumXm
50,"No Stylist (feat. Drake)","French Montana",3391608,https://open.spotify.com/track/04MLEeAMuV9IlHEsD8vF6A
51,"lovely (with Khalid)","Billie Eilish",3352485,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
52,"Toxic Waste","Trippie Redd",3279772,https://open.spotify.com/track/1SxagO9GK0UUeEYLmH8Pln
53,"In My Feelings",Drake,3247775,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
54,changes,XXXTENTACION,3228100,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
55,"Lean Wit Me","Juice WRLD",3200147,https://open.spotify.com/track/29tc0GbW0pTSBZSCZF3NWk
56,"I Like It","Cardi B",3121620,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
57,"Negative Energy","Trippie Redd",3100132,https://open.spotify.com/track/0ZPCxNK4DIrF8KqrN3DxfA
58,"New Patek","Lil Uzi Vert",3036224,https://open.spotify.com/track/0Fpen1PTuEnCmOJtUU9Iud
59,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",YG,3012783,https://open.spotify.com/track/0ZNrc4kNeQYD9koZ3KvCsy
60,"I Fall Apart","Post Malone",2998447,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
61,"no tears left to cry","Ariana Grande",2976029,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
62,"rockstar (feat. 21 Savage)","Post Malone",2946581,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
63,"High Hopes","Panic! At The Disco",2944173,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
64,Youngblood,"5 Seconds of Summer",2909524,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
65,"All I Want for Christmas Is You","Mariah Carey",2908829,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
66,"Woman Like Me (feat. Nicki Minaj)","Little Mix",2906955,https://open.spotify.com/track/6rrTr2HEAzlpC4KWZxF3S1
67,"Psycho (feat. Ty Dolla $ign)","Post Malone",2898083,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
68,"Can't Love","Trippie Redd",2807671,https://open.spotify.com/track/2dKtWPLZvbCzwLRliNn8UI
69,"God's Plan",Drake,2755197,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
70,"WORKIN ME",Quavo,2688111,https://open.spotify.com/track/4MAsYGSgxsaj73dC2lvFC4
71,"Lucky You (feat. Joyner Lucas)",Eminem,2685902,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
72,"Everybody Dies In Their Nightmares",XXXTENTACION,2671425,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7
73,"Mona Lisa (feat. Kendrick Lamar)","Lil Wayne",2667806,https://open.spotify.com/track/0dbTQYW3Ad1FTzIA9t90E8
74,"Sex with My Ex","Lil Peep",2619092,https://open.spotify.com/track/0H1Had94fszD13qsFsP1U5
75,"Look Alive (feat. Drake)","BlocBoy JB",2589190,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
76,"SLOW DANCING IN THE DARK",Joji,2573149,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d
77,"Always Remember Us This Way","Lady Gaga",2563868,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk
78,Uproar,"Lil Wayne",2558018,https://open.spotify.com/track/3wScL5W8H40zzCKN0atfBk
79,"Suncity (feat. Empress Of)",Khalid,2557680,https://open.spotify.com/track/4AhSkRYioEIfGvCV19peYN
80,Trip,"Ella Mai",2551596,https://open.spotify.com/track/6CTWathupIiDs7U4InHnDA
81,"Sweet but Psycho","Ava Max",2543308,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
82,"Happy Now",Kygo,2530959,https://open.spotify.com/track/14sOS5L36385FJ3OL8hew4
83,STARGAZING,"Travis Scott",2506388,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m
84,"Beautiful (feat. Camila Cabello)",Bazzi,2505579,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
85,"I Tried Loving","Trippie Redd",2491034,https://open.spotify.com/track/7uenITonAmg7wXmFd3kkms
86,"Girls Like You (feat. Cardi B)","Maroon 5",2486252,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
87,"Life is Beautiful","Lil Peep",2465769,https://open.spotify.com/track/5rYpwP1dHWGVMrSZbTmt3e
88,idontwannabeyouanymore,"Billie Eilish",2447945,https://open.spotify.com/track/41zXlQxzTi6cGAjpOXyLYH
89,"Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding",2436840,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA
90,"Ric Flair Drip (& Metro Boomin)",Offset,2416898,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
91,YOSEMITE,"Travis Scott",2414699,https://open.spotify.com/track/7lAK3oHbfEnvUQWosrMMpR
92,"Loyalty Before Royalty","Trippie Redd",2386988,https://open.spotify.com/track/284fVGdbsPtigjjI0jmKXo
93,"This Feeling (feat. Kelsea Ballerini)","The Chainsmokers",2350793,https://open.spotify.com/track/4edS9dC0JPBlSS4p4gMOT0
94,"XO Tour Llif3","Lil Uzi Vert",2341735,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
95,"Wasted (feat. Lil Uzi Vert)","Juice WRLD",2315426,https://open.spotify.com/track/3obgSF06ki98lYNLNq5vCB
96,Hope,XXXTENTACION,2305966,https://open.spotify.com/track/2ZRo7axmMPeSVUvDbGkJah
97,"Kiss and Make Up","Dua Lipa",2295363,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3
98,STOOPID,6ix9ine,2289104,https://open.spotify.com/track/1jQvUmf16VE9WQCPuK2e8K
99,"Nice For What",Drake,2288619,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw
100,"Love Lies (with Normani)",Khalid,2278058,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
101,"Fire Starter","Trippie Redd",2272365,https://open.spotify.com/track/2lvOt6VAufWlstrqutilVb
102,Casper,Takeoff,2254023,https://open.spotify.com/track/1B4gJRq61xTs6r1O0Uq2iY
103,"Overdue (with Travis Scott)","Metro Boomin",2225059,https://open.spotify.com/track/2mYDDUkBcgFNBqkWctyyuc
104,"A.L.L.T.Y. 3","Trippie Redd",2205903,https://open.spotify.com/track/2ppse4DOEFlzaW7Xu3U76r
105,Runaway,"Lil Peep",2184129,https://open.spotify.com/track/1FBi1YWCAxlRmfuUbMINqO
106,"Plug Walk","Rich The Kid",2180508,https://open.spotify.com/track/1ZAyjvIk9YiD76yYy0TEG6
107,"Another One Bites The Dust - Remastered 2011",Queen,2167176,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7
108,"Be Alright","Dean Lewis",2144253,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
109,"Waste It On Me (feat. BTS)","Steve Aoki",2144154,https://open.spotify.com/track/2J0X46UkpfLlWbuCXFgDLr
110,"the remedy for a broken heart (why am I so in love)",XXXTENTACION,2140763,https://open.spotify.com/track/4UKCKdYiLN6IMA5ZESUTL7
111,"Hard Work Pays Off",Future,2127401,https://open.spotify.com/track/6gzIcEUuswJQGfJNPYMjjv
112,"Elevate & Motivate","Trippie Redd",2125491,https://open.spotify.com/track/5Tp5zlCgbwXLMa3pgYsNMl
113,"Look At Me!",XXXTENTACION,2123413,https://open.spotify.com/track/6eYxmK9fdL4hwLnXG2zY3s
114,"Dreamcatcher (feat. Swae Lee & Travis Scott)","Metro Boomin",2106775,https://open.spotify.com/track/6osMzmRHCVETbZMHceLRmh
115,"ocean eyes","Billie Eilish",2105891,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU
116,Lust,"Lil Skies",2101123,https://open.spotify.com/track/7oJrVhiTPZGBXWPwhxjy9S
117,"Broken Smile (My All)","Lil Peep",2087824,https://open.spotify.com/track/1BCBBO8VUEFOb6RBct4XDp
118,"Last Memory",Takeoff,2075086,https://open.spotify.com/track/1fvCggAYrW0VtCljtqv4h2
119,"Dip (feat. Nicki Minaj)",Tyga,2062030,https://open.spotify.com/track/4hXDobvUaXyDFLnmecoY0z
120,"Don't Stop Me Now - Remastered 2011",Queen,2059167,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7
121,"Taking A Walk","Trippie Redd",2053937,https://open.spotify.com/track/4mHgYpuGHu99Mw69E83CP2
122,Congratulations,"Post Malone",2039205,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
123,"Close Friends (Lil Baby & Gunna)","Lil Baby",2038166,https://open.spotify.com/track/5nzhL67GpF9szXWg5y509A
124,goosebumps,"Travis Scott",2018908,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
125,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",2017171,https://open.spotify.com/track/4e4fqjx0Izh4svvTef1z7e
126,"Somebody To Love - Remastered 2011",Queen,2015982,https://open.spotify.com/track/6cFZ4PLC19taNlpl9pbGMf
