,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Nonstop,Drake,24972971,https://open.spotify.com/track/2Vx8E3K5icPZR7OCklWBXX
2,"Don’t Matter To Me",Drake,17862850,https://open.spotify.com/track/36ONiya0OANYknz0GgJmwB
3,Emotionless,Drake,17133886,https://open.spotify.com/track/1v1IXPXl73Z7zy6f5tUa9n
4,"I'm Upset",Drake,16610484,https://open.spotify.com/track/1iSZPndzmY6NvL1jAtIvY1
5,"In My Feelings",Drake,16205597,https://open.spotify.com/track/0bAkKNCQfWkexHFn7fIKns
6,"Mob Ties",Drake,15870998,https://open.spotify.com/track/7txPE73wHbuXYkM1h8zNrG
7,Elevate,Drake,15788521,https://open.spotify.com/track/4uloft7ZE54WflsuqFmjC7
8,Survival,Drake,15034277,https://open.spotify.com/track/71SEHJPt1iDwGkBhUOAXDP
9,"God's Plan",Drake,14344274,https://open.spotify.com/track/2VWbHHhWnMzKWPUs4IEEW9
10,"8 Out Of 10",Drake,13733859,https://open.spotify.com/track/5fcM0StdQxMjzulVGhFkHN
11,"Can’t Take A Joke",Drake,13676971,https://open.spotify.com/track/7cfvP13Bqb1EyCZQiYsLum
12,"Talk Up",Drake,13592919,https://open.spotify.com/track/3Yw09dj3cTXsAzlLjgBfIP
13,"Nice For What",Drake,13576992,https://open.spotify.com/track/0HVv5bEOiI9a0QfgcASXpX
14,"Lucid Dreams","Juice WRLD",12795492,https://open.spotify.com/track/0X8DcetL926BYiPJYstJTc
15,SAD!,XXXTENTACION,12286484,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
16,"Sandra’s Rose",Drake,11262530,https://open.spotify.com/track/1sPLURKAosM3Jampgp9AWq
17,"Summer Games",Drake,10390735,https://open.spotify.com/track/0w1ZtnzQmtmuuoKxHT0pLL
18,"Blue Tint",Drake,9550186,https://open.spotify.com/track/1Jrj3k5L36dPkU6KAclU7g
19,Jaded,Drake,9330213,https://open.spotify.com/track/3jipFRgLyKK0oJoG1pKicx
20,"Is There More",Drake,9309992,https://open.spotify.com/track/2QoOyCFpDo4NblMLP7vBRT
21,Moonlight,XXXTENTACION,9251696,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
22,Peak,Drake,9022953,https://open.spotify.com/track/2RAeY8dPj6KmStROfEigjV
23,Finesse,Drake,8707898,https://open.spotify.com/track/590bUp2TKTfTS9NfiD4Nmn
24,"I Like It","Cardi B",8622020,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
25,"That’s How You Feel",Drake,8591949,https://open.spotify.com/track/0SVsEdvot6vU4byv5yW0oj
26,"After Dark",Drake,8189009,https://open.spotify.com/track/4IvenHmD0spfFDOKphoUDp
27,"Ratchet Happy Birthday",Drake,7515721,https://open.spotify.com/track/16x6tqeSkIjoLEf7SJLlYy
28,"Taste (feat. Offset)",Tyga,7321389,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
29,"Yes Indeed","Lil Baby",7269782,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
30,"Better Now","Post Malone",7268833,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
31,"Girls Like You (feat. Cardi B)","Maroon 5",7144112,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
32,"March 14",Drake,6596132,https://open.spotify.com/track/40IiSjljbAhrSbdJ3HxSfH
33,"Final Fantasy",Drake,6274462,https://open.spotify.com/track/7ijJ5crvsnCvCLJbHpyq3j
34,"Jocelyn Flores",XXXTENTACION,6272717,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
35,changes,XXXTENTACION,6097076,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
36,"Psycho (feat. Ty Dolla $ign)","Post Malone",5742706,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
37,"All Girls Are The Same","Juice WRLD",5222202,https://open.spotify.com/track/3H2JThgdBxezwj1wwafQS8
38,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,5084872,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
39,"no tears left to cry","Ariana Grande",4924451,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
