,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Mona Lisa (feat. Kendrick Lamar)","Lil Wayne",18380033,https://open.spotify.com/track/0dbTQYW3Ad1FTzIA9t90E8
2,"Don't Cry (feat. XXXTENTACION)","Lil Wayne",15034709,https://open.spotify.com/track/5BQrp63SHCVf4bzCzJePne
3,"Let It Fly (feat. Travis Scott)","Lil Wayne",12169902,https://open.spotify.com/track/0CBQ0m3mufWH75LTYB3s6h
4,Uproar,"Lil Wayne",11785152,https://open.spotify.com/track/3wScL5W8H40zzCKN0atfBk
5,Dedicate,"Lil Wayne",11091357,https://open.spotify.com/track/0Y7di9ZCmB6Elad5WISaPc
6,"Can't Be Broken","Lil Wayne",10012063,https://open.spotify.com/track/5cGpjfgAvidLy6znwkCxkP
7,"SICKO MODE","Travis Scott",9750390,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
8,"I Love It (& Lil Pump)","Kanye West",9556689,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
9,"What About Me (feat. Sosamann)","Lil Wayne",9466032,https://open.spotify.com/track/3JX0dOCIAiaR8MP3ryXWuM
10,"Falling Down - Bonus Track","Lil Peep",9096422,https://open.spotify.com/track/0Dn40gxVCMo5TkgS8Ik18Q
11,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",8169588,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
12,"Lucid Dreams","Juice WRLD",8120777,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
13,"Mo Bamba","Sheck Wes",7930224,https://open.spotify.com/track/3QybPutx0Tjk472bBKjNWn
14,"Dark Side Of The Moon (feat. Nicki Minaj)","Lil Wayne",7834667,https://open.spotify.com/track/5IvdLxVB8gwwcgnEkXSSW2
15,Happier,Marshmello,7644187,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
16,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,7195265,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
17,"Famous (feat. Reginae Carter)","Lil Wayne",7050568,https://open.spotify.com/track/05r1GGg1Rhs0RcUg27C82a
18,"Drip Too Hard","Lil Baby",6816166,https://open.spotify.com/track/1BxkZE73h9BN3qwuA15TA3
19,"Dope Niggaz (feat. Snoop Dogg)","Lil Wayne",6703687,https://open.spotify.com/track/2AwyHlbA6f641SEkizD5JG
20,SAD!,XXXTENTACION,6569650,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
21,"Open Letter","Lil Wayne",6513340,https://open.spotify.com/track/2DnH4XlEkghUdE8ymdVom5
22,Moonlight,XXXTENTACION,6498467,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
23,"New Patek","Lil Uzi Vert",6490856,https://open.spotify.com/track/0Fpen1PTuEnCmOJtUU9Iud
24,Nonstop,Drake,6318931,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
25,"Lucky You (feat. Joyner Lucas)",Eminem,6034186,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
26,Problems,"Lil Wayne",5780114,https://open.spotify.com/track/0ubdf6zWT1It2saK41SkO0
27,"Wake Up in the Sky","Gucci Mane",5740572,https://open.spotify.com/track/0QIjsbm2fh1cJ45XO9eGqq
28,Better,Khalid,5674156,https://open.spotify.com/track/4T3fNx3CgwDRRYgmFCbD4J
29,"In My Feelings",Drake,5581170,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
30,Hittas,"Lil Wayne",5509382,https://open.spotify.com/track/5s6pKnF3ZPtuqvEx1i1V7U
