,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Lucky You (feat. Joyner Lucas)",Eminem,16130274,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
2,"The Ringer",Eminem,13944284,https://open.spotify.com/track/2jt2WxXMCD4zjACthkJQVE
3,"SICKO MODE","Travis Scott",11118794,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
4,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,10603298,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
5,Greatest,Eminem,9812954,https://open.spotify.com/track/2XTquzYQAdT1Hk78bOUwsv
6,"Lucid Dreams","Juice WRLD",9641186,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
7,"Not Alike (feat. Royce Da 5'9)",Eminem,9479444,https://open.spotify.com/track/28FGV3ORH14MYORd7s5dlU
8,"In My Feelings",Drake,9134112,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
9,Fall,Eminem,8469028,https://open.spotify.com/track/58QhkbaAkLFnn7JwAnAato
10,Kamikaze,Eminem,8294185,https://open.spotify.com/track/2gsNpSn7VvvJuSrIDfRoYy
11,Normal,Eminem,7420441,https://open.spotify.com/track/0evt4UZbdhnHtcAnxkm6A1
12,Nonstop,Drake,7083541,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
13,SAD!,XXXTENTACION,7012210,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
14,"Stepping Stone",Eminem,6779265,https://open.spotify.com/track/60Z57Wdrn0pEVpHI7d7GAX
15,"Taste (feat. Offset)",Tyga,6769737,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
16,Moonlight,XXXTENTACION,6542875,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
17,"Eastside (with Halsey & Khalid)","benny blanco",6367575,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
18,Happier,Marshmello,6295610,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
19,"Paul - Skit","Paul Rosenberg",6191558,https://open.spotify.com/track/0Uv5Kp8sEnriJjkX4oLfNI
20,"Better Now","Post Malone",5918752,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
21,"Venom - Music From The Motion Picture",Eminem,5823698,https://open.spotify.com/track/2SL6oP2YAEQbqsrkOzRGO4
22,"Yes Indeed","Lil Baby",5706242,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
23,breathin,"Ariana Grande",5557743,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
24,"I Like It","Cardi B",5542219,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
25,"God is a woman","Ariana Grande",5483992,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
26,"Good Guy (feat. Jessie Reyez)",Eminem,5461149,https://open.spotify.com/track/4g32MdRoqwGKQd3NXIRhpU
27,"Em Calls Paul - Skit",Eminem,5415229,https://open.spotify.com/track/6B3zy3LOKHndqsviCr2z15
28,STARGAZING,"Travis Scott",5309144,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m
29,"Nice Guy (with Jessie Reyez)",Eminem,5261257,https://open.spotify.com/track/09FfQO3PqHO4HIJL511Ksi
30,"No Brainer","DJ Khaled",5242623,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
31,"Girls Like You (feat. Cardi B)","Maroon 5",5024413,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
32,"Mo Bamba","Sheck Wes",4879549,https://open.spotify.com/track/3QybPutx0Tjk472bBKjNWn
33,"Jocelyn Flores",XXXTENTACION,4471805,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
34,"All Girls Are The Same","Juice WRLD",4358261,https://open.spotify.com/track/0XySogm94T51XF5F2jumXm
35,"Promises (with Sam Smith)","Calvin Harris",4314755,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
36,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",YG,4265772,https://open.spotify.com/track/0ZNrc4kNeQYD9koZ3KvCsy
37,"Lean Wit Me","Juice WRLD",4252745,https://open.spotify.com/track/29tc0GbW0pTSBZSCZF3NWk
38,"Psycho (feat. Ty Dolla $ign)","Post Malone",4229267,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
39,"Be Alright","Dean Lewis",4148356,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
40,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,4140284,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
41,"God's Plan",Drake,4069777,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
42,Youngblood,"5 Seconds of Summer",4019841,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
43,"Nice For What",Drake,3966994,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw
44,BEBE,6ix9ine,3958460,https://open.spotify.com/track/7ATATJztoWLcqDAcVVof0C
45,"Wasted (feat. Lil Uzi Vert)","Juice WRLD",3899316,https://open.spotify.com/track/3obgSF06ki98lYNLNq5vCB
46,YOSEMITE,"Travis Scott",3864063,https://open.spotify.com/track/7lAK3oHbfEnvUQWosrMMpR
47,changes,XXXTENTACION,3762196,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
48,"Taking A Walk","Trippie Redd",3688475,https://open.spotify.com/track/4mHgYpuGHu99Mw69E83CP2
49,"Body (feat. brando)","Loud Luxury",3602441,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
50,Natural,"Imagine Dragons",3568431,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
51,"WORKIN ME",Quavo,3566004,https://open.spotify.com/track/33tNYw9oMtSkGe27NpgS64
52,"rockstar (feat. 21 Savage)","Post Malone",3539088,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
53,"Look Alive (feat. Drake)","BlocBoy JB",3370461,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
54,"no tears left to cry","Ariana Grande",3295308,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
55,"Beautiful (feat. Camila Cabello)",Bazzi,3256493,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
56,"Jackie Chan",Tiësto,3245491,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
57,"I Fall Apart","Post Malone",3121937,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
58,"Drew Barrymore","Bryce Vine",3088650,https://open.spotify.com/track/0OgGn1ofaj55l2PcihQQGV
59,"Praise The Lord (Da Shine) (feat. Skepta)","A$AP Rocky",3071112,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
60,"Happy Now",Zedd,2935807,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
61,"Everybody Dies In Their Nightmares",XXXTENTACION,2923915,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7
62,"Hopeless Romantic (feat. Swae Lee)","Wiz Khalifa",2832576,https://open.spotify.com/track/7IBSffWIu7P2MC7kMwy2FM
63,"Te Boté - Remix","Nio Garcia",2722414,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
64,"I'm Upset",Drake,2718184,https://open.spotify.com/track/3qN5qMTKyEEmiTZD38BNTT
65,"Love Lies (with Normani)",Khalid,2714982,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
66,"High Hopes","Panic! At The Disco",2682634,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
67,Noticed,"Lil Mosey",2648118,https://open.spotify.com/track/7d6XJZjnm7iWcKwYL9z5kC
68,"Mob Ties",Drake,2643168,https://open.spotify.com/track/7rC5Pl8rQSX4myONQHYPBK
69,"Ric Flair Drip (& Metro Boomin)",Offset,2629877,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
70,SWISH,Tyga,2615687,https://open.spotify.com/track/55GiOwtxNajXVbpjjIzMnD
71,"Whenever (feat. Conor Maynard)","Kris Kross Amsterdam",2547061,https://open.spotify.com/track/3DGar7krWlmrXRFHBcQF6z
72,"lovely (with Khalid)","Billie Eilish",2543014,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
73,"XO Tour Llif3","Lil Uzi Vert",2529153,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
74,Thunderclouds,Sia,2526849,https://open.spotify.com/track/5a8RPWgKSmcGBGcffmIrUi
75,"Ball For Me (feat. Nicki Minaj)","Post Malone",2504724,https://open.spotify.com/track/6IaieqiCVvsNvEt6Y7yOFa
76,"Plug Walk","Rich The Kid",2495308,https://open.spotify.com/track/1ZAyjvIk9YiD76yYy0TEG6
77,"Chanel (Go Get It) [feat. Gunna & Lil Baby]","Young Thug",2453146,https://open.spotify.com/track/0kCBorRrKZkSztd9m0QI3r
78,Hope,XXXTENTACION,2450422,https://open.spotify.com/track/2ZRo7axmMPeSVUvDbGkJah
79,"Leave Me Alone","Flipp Dinero",2429770,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g
80,"BUTTERFLY EFFECT","Travis Scott",2404266,https://open.spotify.com/track/6xcJyGpfZbuuiequtnlKt4
81,"the remedy for a broken heart (why am I so in love)",XXXTENTACION,2387244,https://open.spotify.com/track/4UKCKdYiLN6IMA5ZESUTL7
82,"Look At Me!",XXXTENTACION,2382128,https://open.spotify.com/track/6eYxmK9fdL4hwLnXG2zY3s
83,"Magic In The Hamptons (feat. Lil Yachty)","Social House",2364425,https://open.spotify.com/track/2Yer0p7uB2lVBUAtANuuQp
84,sweetener,"Ariana Grande",2363268,https://open.spotify.com/track/70khXICDeTTxgYtw3EysKH
85,"Vaina Loca",Ozuna,2359117,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA
86,"Ned Flanders (feat. A$AP Ferg)",MadeinTYO,2349844,https://open.spotify.com/track/6f5i916F3jU6BhOOD7iGqf
87,Rise,"Jonas Blue",2332553,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
88,"Nephew (feat. Lil Pump)",Smokepurpp,2327129,https://open.spotify.com/track/0ibOcbkp2XG46Do8jcy0bL
89,OTW,Khalid,2312327,https://open.spotify.com/track/6Hgh47WXVKtXN5zGOu0hjI
90,Lust,"Lil Skies",2304523,https://open.spotify.com/track/7oJrVhiTPZGBXWPwhxjy9S
91,"Tie Me Down (with Elley Duhé)",Gryffin,2272427,https://open.spotify.com/track/4QVS8YCpK71R4FsxSMCjhP
92,"In My Mind",Dynoro,2265824,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
93,"I Like Me Better",Lauv,2247383,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
94,"Boo'd Up","Ella Mai",2231650,https://open.spotify.com/track/0At2qAoaVjIwWNAqrscXli
95,Mine,Bazzi,2230796,https://open.spotify.com/track/7uzmGiiJyRfuViKKK3lVmR
96,"Candy Paint","Post Malone",2205804,https://open.spotify.com/track/32lItqlMi4LBhb4k0BaSaC
97,Legends,"Juice WRLD",2199376,https://open.spotify.com/track/1Knctxx9vGZxpZfF66BIEa
98,"WAKE UP","Travis Scott",2189346,https://open.spotify.com/track/20MuVazoNMv6xjKPnRFOxG
99,"CAN'T SAY","Travis Scott",2189155,https://open.spotify.com/track/27a1mYSG5tYg7dmEjWBcmL
100,"Don’t Matter To Me (with Michael Jackson)",Drake,2178529,https://open.spotify.com/track/6G8kHiVZ1jW7vHMPVRNZU0
101,"8 Letters","Why Don't We",2172758,https://open.spotify.com/track/4zRZAmBQP8vhNPf9i9opXt
102,JAPAN,"Famous Dex",2167148,https://open.spotify.com/track/5PTG6rrL6EPFD9E2QMI2pl
103,"I'm a Mess","Bebe Rexha",2165572,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
104,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",2105341,https://open.spotify.com/track/4e4fqjx0Izh4svvTef1z7e
105,"Walk It Talk It",Migos,2091309,https://open.spotify.com/track/6n4U3TlzUGhdSFbUUhTvLP
106,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",2074171,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
107,Congratulations,"Post Malone",2073790,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
108,"Barbie Dreams","Nicki Minaj",2030852,https://open.spotify.com/track/6Poyf51k7W3NKnsGwAI90B
109,"All Mine","Kanye West",2002902,https://open.spotify.com/track/3qnoOm4fwZPBS116f5hpgF
110,CAROUSEL,"Travis Scott",2002255,https://open.spotify.com/track/7KZ5MMVgBVox9ycroB2UrI
111,Narcos,Migos,1988665,https://open.spotify.com/track/0wbnC9AUenxp613TYaJsGK
112,"Nowadays (feat. Landon Cube)","Lil Skies",1983498,https://open.spotify.com/track/2u7mxWSeoqTXndK5e08jMp
113,everytime,"Ariana Grande",1977252,https://open.spotify.com/track/0WdR2AyLW1Drd3OUdwezM0
114,HUMBLE.,"Kendrick Lamar",1974362,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
115,"Champion (feat. Travis Scott)",NAV,1970488,https://open.spotify.com/track/6nO3tr47nr2P7f3hXb8JIo
116,"Life Goes On","Lil Baby",1967817,https://open.spotify.com/track/2bSk87AVkCIIC3Bcligq1z
117,Trip,"Ella Mai",1956284,https://open.spotify.com/track/7noud145AHZGg74vpWOsCa
118,goosebumps,"Travis Scott",1944880,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
119,"Shake It Up","Trippie Redd",1940652,https://open.spotify.com/track/6yz0Jndhv0QjKdpcEMbOjz
120,"Roll In Peace (feat. XXXTENTACION)","Kodak Black",1932402,https://open.spotify.com/track/40oKW22ZNNkEdZLJTScaQI
121,"Powerglide (feat. Juicy J) - From SR3MM","Rae Sremmurd",1926481,https://open.spotify.com/track/1BuZAIO8WZpavWVbbq3Lci
122,"Shoota (feat. Lil Uzi Vert)","Playboi Carti",1922278,https://open.spotify.com/track/2BJSMvOGABRxokHKB0OI8i
123,"One Kiss (with Dua Lipa)","Calvin Harris",1922269,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
124,"Call Out My Name","The Weeknd",1922095,https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N
125,"No Rest","Lil Skies",1919615,https://open.spotify.com/track/0chpIFSjgfd1CPrAxM7PWp
126,"Feels Like Summer","Childish Gambino",1910482,https://open.spotify.com/track/7p4vHnYXkxlzvfePJVpcTr
127,Simple,"Florida Georgia Line",1908762,https://open.spotify.com/track/1co0puPTYvqAdUEjFOjne9
128,"Red Roses (feat. Landon Cube)","Lil Skies",1874348,https://open.spotify.com/track/3ZhTT6yjZwpPph5MIJ53XY
129,"The Middle",Zedd,1862946,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
130,"PICK IT UP (feat. A$AP Rocky)","Famous Dex",1849540,https://open.spotify.com/track/0dSIrRkA4PadGll16TgbnV
131,"The Return",Logic,1825050,https://open.spotify.com/track/0ATmjiSoHDCHeeQ9FcvZOW
132,"NO BYSTANDERS","Travis Scott",1824151,https://open.spotify.com/track/6OaVWaGfhXn70ZJfdVcabn
133,Thunder,"Imagine Dragons",1800264,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
134,"STOP TRYING TO BE GOD","Travis Scott",1799757,https://open.spotify.com/track/1xYpVRspgaLxdJLOTQkTjg
135,"Bounce Out With That","YBN Nahmir",1798459,https://open.spotify.com/track/2iWEpiPiIPf5D4f2UGBlrZ
136,"R.I.P. SCREW","Travis Scott",1771145,https://open.spotify.com/track/4SZepBIPDRwPaHIjAKwRDb
137,"'Till I Collapse",Eminem,1763921,https://open.spotify.com/track/4xkOaSrkexMciUUogZKVTS
138,APESHIT,"The Carters",1763238,https://open.spotify.com/track/0E6PsO3ymCfUh7pJQjBgkj
139,Tequila,"Dan + Shay",1756614,https://open.spotify.com/track/42fw0rxRO2xbesF6mJfd4Y
140,Heaven,"Kane Brown",1749781,https://open.spotify.com/track/1HXy5I3HTWq8OvxCn0z7G7
141,R.E.M,"Ariana Grande",1749030,https://open.spotify.com/track/1xWH8zYtDeS9mW1JJG23VZ
142,"Havana (feat. Young Thug)","Camila Cabello",1745362,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
143,"Beautiful Crazy","Luke Combs",1737241,https://open.spotify.com/track/2rxQMGVafnNaRaXlRMWPde
144,"Young Dumb & Broke",Khalid,1736528,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
145,"This Is America","Childish Gambino",1731019,https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9
146,Location,Khalid,1724695,https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif
147,"Don't Leave Me Alone (feat. Anne-Marie)","David Guetta",1719924,https://open.spotify.com/track/2lYTJK94hb0fd1LQtb6Dhk
148,"Playinwitme (feat. Kehlani)",KYLE,1719396,https://open.spotify.com/track/4F1yvJfQ7gJkrcgFJQDjOr
149,Stay,"Post Malone",1712080,https://open.spotify.com/track/4H7WNRErSbONkM06blBoGc
150,Believer,"Imagine Dragons",1704419,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
151,Speechless,"Dan + Shay",1694370,https://open.spotify.com/track/3GJ4hzg4lrGwU51Y3VARbF
152,"Stir Fry",Migos,1694166,https://open.spotify.com/track/2UVbBKQOdFAekPTRsnkzcf
153,Betrayed,"Lil Xan",1692002,https://open.spotify.com/track/4vaxvNDaLSoD36iZX515ug
154,TATI,6ix9ine,1688572,https://open.spotify.com/track/6kp0inxIexxSiDJfWqq0ZL
155,"Bigger Than You (feat. Drake & Quavo)","2 Chainz",1683589,https://open.spotify.com/track/5S1IUPueD0xE0vj4zU3nSf
156,"you should see me in a crown","Billie Eilish",1670042,https://open.spotify.com/track/6vsV4D8BM6PioRr1UOx0n2
157,"Black & White","Juice WRLD",1667406,https://open.spotify.com/track/1R0Ig5KYrSGWvIoPzY4T3l
158,"5% TINT","Travis Scott",1665560,https://open.spotify.com/track/11kDth1aKUEUMq9r1pqyds
159,"Ocean (feat. Khalid)","Martin Garrix",1663795,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
160,"King's Dead (with Kendrick Lamar, Future & James Blake)","Jay Rock",1661891,https://open.spotify.com/track/51rXHuKN8Loc4sUlKPODgH
161,"Bank Account","21 Savage",1656810,https://open.spotify.com/track/2fQrGHiQOvpL9UgPvtYy6G
162,"All The Stars (with SZA)","Kendrick Lamar",1655575,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
163,"Ring (feat. Kehlani)","Cardi B",1645952,https://open.spotify.com/track/5DfWF0jqMgZDCiu9zJENTA
164,"Solo (feat. Demi Lovato)","Clean Bandit",1633848,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
165,NUMB,XXXTENTACION,1629971,https://open.spotify.com/track/01TnVDiet1DFTsyWKUKovl
166,"Freaky Friday (feat. Chris Brown)","Lil Dicky",1626953,https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ
167,"Creeping (feat. Rich the Kid)","Lil Skies",1626432,https://open.spotify.com/track/7ms3VzLTfr7fXNOqA4Mkx9
