,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",11348989,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
2,"thank u, next","Ariana Grande",9226168,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
3,"SICKO MODE","Travis Scott",9158408,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
4,"All I Want for Christmas Is You","Mariah Carey",9011581,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
5,"Going Bad (feat. Drake)","Meek Mill",8773127,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
6,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",8715630,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
7,Wow.,"Post Malone",8254924,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
8,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",8168525,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z
9,"a lot","21 Savage",8021330,https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d
10,"Rockin' Around The Christmas Tree","Brenda Lee",7906671,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
11,"Mo Bamba","Sheck Wes",7849377,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr
12,"Jingle Bell Rock","Bobby Helms",7722902,https://open.spotify.com/track/7vQbuQcyTflfCIOu3Uzzya
13,"Without Me",Halsey,7412009,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
14,"It's the Most Wonderful Time of the Year","Andy Williams",7062102,https://open.spotify.com/track/5hslUAKq9I9CG2bAulFkHN
15,"Santa Tell Me","Ariana Grande",6855213,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
16,"Last Christmas",Wham!,6398797,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
17,monster,"21 Savage",6121817,https://open.spotify.com/track/2FUNBaa5DwItJtYEBgAblU
18,"Leave Me Alone","Flipp Dinero",5995586,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g
19,"It's Beginning to Look a Lot like Christmas","Michael Bublé",5732509,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
20,"all my friends","21 Savage",5616199,https://open.spotify.com/track/4paAidoE8VAemwU4jgCc6l
21,"Lucid Dreams","Juice WRLD",5602844,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
22,"Do They Know It's Christmas? - 1984 Version","Band Aid",5516090,https://open.spotify.com/track/0247StOpd3AkeBQzANX4Zf
23,"A Holly Jolly Christmas - Single Version","Burl Ives",5470734,https://open.spotify.com/track/65Q2mv3UlVi9eO70OpsmSe
24,"The Christmas Song (Merry Christmas To You)","Nat King Cole",5402082,https://open.spotify.com/track/4PS1e8f2LvuTFgUs1Cn3ON
25,"Wake Up in the Sky","Gucci Mane",5340216,https://open.spotify.com/track/2G1tXoGBaEMJ7FKGnkf6ud
26,imagine,"Ariana Grande",5205506,https://open.spotify.com/track/0todbbT9g5uQGbeFCiBf2F
27,"Wonderful Christmastime [Edited Version] - Remastered 2011 / Edited Version","Paul McCartney",5196078,https://open.spotify.com/track/7Lbxvt42JsNSKVCaN63qhD
28,"Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)","Frank Sinatra",5078642,https://open.spotify.com/track/7inXu0Eaeg02VsM8kHNvzM
29,"Startender (feat. Offset and Tyga)","A Boogie Wit da Hoodie",4972529,https://open.spotify.com/track/0jAfdqv18goRTUxm3ilRjb
