,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"God's Plan",Drake,17014844,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
2,SAD!,XXXTENTACION,15024019,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
3,"Psycho (feat. Ty Dolla $ign)","Post Malone",12907722,https://open.spotify.com/track/65NwOZqoXny4JxqAPlfxRF
4,"Look Alive (feat. Drake)","BlocBoy JB",11870280,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
5,Moonlight,XXXTENTACION,9077788,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
6,"All The Stars (with SZA)","Kendrick Lamar",7598243,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
7,"Stir Fry",Migos,7143192,https://open.spotify.com/track/2UVbBKQOdFAekPTRsnkzcf
8,Mine,Bazzi,7075927,https://open.spotify.com/track/6tHWl8ows5JOZq9Yfaqn3M
9,"Plug Walk","Rich The Kid",6702131,https://open.spotify.com/track/0gD6lWJhbXHWNVwQziSVvl
10,"The Middle",Zedd,6653386,https://open.spotify.com/track/2ARqIya5NAuvFVHSN3bL0m
11,"Love Lies (with Normani)",Khalid,6491842,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
12,"King's Dead (with Kendrick Lamar, Future & James Blake)","Jay Rock",6405493,https://open.spotify.com/track/51rXHuKN8Loc4sUlKPODgH
13,changes,XXXTENTACION,6259366,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
14,"Ric Flair Drip (& Metro Boomin)",Offset,6222936,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
15,"Freaky Friday (feat. Chris Brown)","Lil Dicky",6113999,https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ
16,Everyday,Logic,5867587,https://open.spotify.com/track/4EAV2cKiqKP5UPZmY6dejk
17,rockstar,"Post Malone",5731605,https://open.spotify.com/track/2U7Hu2RaNQNRi7izoJyZaX
18,"the remedy for a broken heart (why am I so in love)",XXXTENTACION,5487284,https://open.spotify.com/track/4UKCKdYiLN6IMA5ZESUTL7
19,"Pray For Me (with Kendrick Lamar)","The Weeknd",5462483,https://open.spotify.com/track/4ofvoCdXq99vpMZO4Cfp8x
20,"I Fall Apart","Post Malone",5384219,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
21,"44 More",Logic,5325589,https://open.spotify.com/track/3e7Y6sfFlIdBMJhX7wpqVO
22,"going down!",XXXTENTACION,5174741,https://open.spotify.com/track/7CkbRn6S0itJqcqn88AtSV
23,NUMB,XXXTENTACION,5031409,https://open.spotify.com/track/01TnVDiet1DFTsyWKUKovl
24,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",5028732,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn
25,FRIENDS,Marshmello,4653300,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
26,"Powerglide (feat. Juicy J)","Rae Sremmurd",4610341,https://open.spotify.com/track/2yUbCEiaolfSMluDo9RMmG
27,"I don’t even speak spanish lol - feat. Rio Santana, Judah, Andrez Babii",XXXTENTACION,4415382,https://open.spotify.com/track/14boA065HMHWvqyPPEeN4y
28,"Never Be the Same","Camila Cabello",4408426,https://open.spotify.com/track/4eWQlBRaTjPPUlzacqEeoQ
29,"infinity (888) - feat. Joey Bada$$",XXXTENTACION,4384144,https://open.spotify.com/track/7J2gyNghNTzl4EsLhXp01Q
30,Hope,XXXTENTACION,4312343,https://open.spotify.com/track/2ZRo7axmMPeSVUvDbGkJah
31,Narcos,Migos,4151991,https://open.spotify.com/track/0wbnC9AUenxp613TYaJsGK
32,"PICK IT UP (feat. A$AP Rocky)","Famous Dex",3948561,https://open.spotify.com/track/3ncgNpxLoBQ65ABk4djDyd
33,"$$$ - with Matt Ox",XXXTENTACION,3917728,https://open.spotify.com/track/65u1dHQyQyE4y4aN2eDmMF
34,"Finesse - Remix; feat. Cardi B","Bruno Mars",3819941,https://open.spotify.com/track/3Vo4wInECJQuz9BIBMOu8i
35,"XO Tour Llif3","Lil Uzi Vert",3808791,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
36,"Walk It Talk It",Migos,3767618,https://open.spotify.com/track/6n4U3TlzUGhdSFbUUhTvLP
37,IDGAF,"Dua Lipa",3732975,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
