,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"God's Plan",Drake,15852986,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
2,SAD!,XXXTENTACION,12701330,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
3,"Psycho (feat. Ty Dolla $ign)","Post Malone",12375782,https://open.spotify.com/track/65NwOZqoXny4JxqAPlfxRF
4,"Look Alive (feat. Drake)","BlocBoy JB",10986328,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
5,Moonlight,XXXTENTACION,7969873,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
6,"Freaky Friday (feat. Chris Brown)","Lil Dicky",7781126,https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ
7,"Plug Walk","Rich The Kid",7269898,https://open.spotify.com/track/0gD6lWJhbXHWNVwQziSVvl
8,"All The Stars (with SZA)","Kendrick Lamar",6978292,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
9,"Love Lies (with Normani)",Khalid,6777802,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
10,"Stir Fry",Migos,6761988,https://open.spotify.com/track/2UVbBKQOdFAekPTRsnkzcf
11,"In My Blood","Shawn Mendes",6704639,https://open.spotify.com/track/79jX8RM5CgPqDKdGEKNW9K
12,Mine,Bazzi,6692098,https://open.spotify.com/track/6tHWl8ows5JOZq9Yfaqn3M
13,"The Middle",Zedd,6448836,https://open.spotify.com/track/2ARqIya5NAuvFVHSN3bL0m
14,"Ric Flair Drip (& Metro Boomin)",Offset,6287551,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
15,"King's Dead (with Kendrick Lamar, Future & James Blake)","Jay Rock",5819647,https://open.spotify.com/track/51rXHuKN8Loc4sUlKPODgH
16,rockstar,"Post Malone",5538963,https://open.spotify.com/track/2U7Hu2RaNQNRi7izoJyZaX
17,"Powerglide (feat. Juicy J)","Rae Sremmurd",5220027,https://open.spotify.com/track/2yUbCEiaolfSMluDo9RMmG
18,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",5192786,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn
19,"I Fall Apart","Post Malone",5127917,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
20,"Walk It Talk It",Migos,5122276,https://open.spotify.com/track/6n4U3TlzUGhdSFbUUhTvLP
21,changes,XXXTENTACION,5088067,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
22,"Lost In Japan","Shawn Mendes",4937708,https://open.spotify.com/track/7wvYmO5QscgIDDT0eNwbYX
23,Everyday,Logic,4844364,https://open.spotify.com/track/4EAV2cKiqKP5UPZmY6dejk
24,FRIENDS,Marshmello,4792019,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
25,"Pray For Me (with Kendrick Lamar)","The Weeknd",4762603,https://open.spotify.com/track/4ofvoCdXq99vpMZO4Cfp8x
26,"Never Be the Same","Camila Cabello",4339750,https://open.spotify.com/track/4eWQlBRaTjPPUlzacqEeoQ
