,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Nice For What",Drake,11555034,https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN
2,"Yes Indeed","Lil Baby",11082014,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
3,"Lucid Dreams","Juice WRLD",9969468,https://open.spotify.com/track/0X8DcetL926BYiPJYstJTc
4,"Better Now","Post Malone",9277695,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
5,"This Is America","Childish Gambino",8706854,https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9
6,"God's Plan",Drake,8412860,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
7,"Psycho (feat. Ty Dolla $ign)","Post Malone",7939914,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
8,"I Like It","Cardi B",7175665,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
9,"Look Alive (feat. Drake)","BlocBoy JB",7123819,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
10,"I'm Upset",Drake,6664420,https://open.spotify.com/track/54oMZ3blwWwuPN4wEoG5mk
11,"Praise The Lord (Da Shine) (feat. Skepta)","A$AP Rocky",6560025,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
12,"rockstar (feat. 21 Savage)","Post Malone",5665940,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
13,"All Girls Are The Same","Juice WRLD",5256428,https://open.spotify.com/track/3H2JThgdBxezwj1wwafQS8
14,"Plug Walk","Rich The Kid",5177678,https://open.spotify.com/track/6mAz8D1TmlTuef90dbNIiZ
15,"Ric Flair Drip (& Metro Boomin)",Offset,5046341,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
16,"Walk It Talk It",Migos,5034265,https://open.spotify.com/track/6n4U3TlzUGhdSFbUUhTvLP
17,SAD!,XXXTENTACION,4995292,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
18,Paranoid,"Post Malone",4985170,https://open.spotify.com/track/3fpVWegR6YOS1Yk5HSMYIq
19,"no tears left to cry","Ariana Grande",4928761,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
20,"Ball For Me (feat. Nicki Minaj)","Post Malone",4909870,https://open.spotify.com/track/6IaieqiCVvsNvEt6Y7yOFa
21,"Powerglide (feat. Juicy J) - From SR3MM","Rae Sremmurd",4883722,https://open.spotify.com/track/1BuZAIO8WZpavWVbbq3Lci
22,"Love Lies (with Normani)",Khalid,4555735,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
23,OTW,Khalid,4488741,https://open.spotify.com/track/6Hgh47WXVKtXN5zGOu0hjI
24,JAPAN,"Famous Dex",4444067,https://open.spotify.com/track/5PTG6rrL6EPFD9E2QMI2pl
25,"Spoil My Night (feat. Swae Lee)","Post Malone",4424183,https://open.spotify.com/track/5VuxWXbt7XENQCtE9TzpTv
26,"Playinwitme (feat. Kehlani)",KYLE,4369765,https://open.spotify.com/track/4F1yvJfQ7gJkrcgFJQDjOr
27,"Back To You","Selena Gomez",4324033,https://open.spotify.com/track/514rhnksEwHUh6LxXsQ4Y9
28,Stay,"Post Malone",4242577,https://open.spotify.com/track/4H7WNRErSbONkM06blBoGc
29,"Shoota (feat. Lil Uzi Vert)","Playboi Carti",4197442,https://open.spotify.com/track/2BJSMvOGABRxokHKB0OI8i
30,"Rich & Sad","Post Malone",4129515,https://open.spotify.com/track/2VdT56BGpdqNHUgOe1j5vc
31,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",4108086,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn
32,"Call Out My Name","The Weeknd",4076191,https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N
33,"lovely (with Khalid)","Billie Eilish",4059293,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
34,"I Fall Apart","Post Malone",4022026,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
35,KOD,"J. Cole",3920795,https://open.spotify.com/track/7yotKA30dwTKNEGomV9ZsI
36,"In My Blood","Shawn Mendes",3918631,https://open.spotify.com/track/21YnmkSDhUkmkkni22Svc4
37,"Candy Paint","Post Malone",3918127,https://open.spotify.com/track/32lItqlMi4LBhb4k0BaSaC
38,Nervous,"Shawn Mendes",3915386,https://open.spotify.com/track/0Dq49j3dELbttQVUJbtn0c
39,"Freaky Friday (feat. Chris Brown)","Lil Dicky",3910197,https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ
40,"One Kiss (with Dua Lipa)","Calvin Harris",3905561,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
41,Youngblood,"5 Seconds of Summer",3867198,https://open.spotify.com/track/55S2PQgSMYAhgoTCcGCDfw
42,"Watch (feat. Lil Uzi Vert & Kanye West)","Travis Scott",3796727,https://open.spotify.com/track/3DoBTwfr8yi2LN08SBpFkN
43,"Youth feat. Khalid","Shawn Mendes",3755521,https://open.spotify.com/track/5SwEgzUFDHwpWHKrbnP32Z
44,"The Middle",Zedd,3669278,https://open.spotify.com/track/2ARqIya5NAuvFVHSN3bL0m
45,"Te Boté - Remix","Nio Garcia",3620981,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
46,"Taste (feat. Offset)",Tyga,3553547,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
47,"If You Know You Know","Pusha T",3528700,https://open.spotify.com/track/6bGwKHXHNLmTy6yt147FPh
48,"King's Dead (with Kendrick Lamar, Future & James Blake)","Jay Rock",3486216,https://open.spotify.com/track/51rXHuKN8Loc4sUlKPODgH
49,"FAKE LOVE",BTS,3464251,https://open.spotify.com/track/3aW0ds4A4tSQDIp75FqWTo
50,"A$AP Forever REMIX (feat. Moby, T.I. & Kid Cudi)","A$AP Rocky",3458627,https://open.spotify.com/track/3oHkMCVJyOcjg5FhfLc2Rq
51,"All The Stars (with SZA)","Kendrick Lamar",3454899,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
52,Mine,Bazzi,3343759,https://open.spotify.com/track/7uzmGiiJyRfuViKKK3lVmR
53,TATI,6ix9ine,3158888,https://open.spotify.com/track/6kp0inxIexxSiDJfWqq0ZL
54,"Stir Fry",Migos,3158123,https://open.spotify.com/track/2UVbBKQOdFAekPTRsnkzcf
55,"92 Explorer","Post Malone",3132105,https://open.spotify.com/track/1D2L6MefbXon28PzIk9I3r
56,"XO Tour Llif3","Lil Uzi Vert",3125604,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
57,"Over Now","Post Malone",3115707,https://open.spotify.com/track/09IOPhEh1OMe0HD9b36FJk
58,"Be Careful","Cardi B",3111287,https://open.spotify.com/track/2Yl4OmDby9iitgNWZPwxkd
59,"Zack And Codeine","Post Malone",3006098,https://open.spotify.com/track/5lZZmityu9TAjNvSY6GLhR
60,FRIENDS,Marshmello,2953582,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
61,"What Would Meek Do?","Pusha T",2925365,https://open.spotify.com/track/5vnuJ8EopkP5dHukpOmT3L
62,"PICK IT UP (feat. A$AP Rocky)","Famous Dex",2903429,https://open.spotify.com/track/0dSIrRkA4PadGll16TgbnV
63,"Fukk Sleep (feat. FKA twigs)","A$AP Rocky",2866134,https://open.spotify.com/track/1AqemxWsT0iGg5Lvkm16Bt
64,Moonlight,XXXTENTACION,2838826,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
65,"Takin' Shots","Post Malone",2782761,https://open.spotify.com/track/5ffntNJnJOeFv7b7DCd0Bw
66,"Champion (feat. Travis Scott)",NAV,2779926,https://open.spotify.com/track/6nO3tr47nr2P7f3hXb8JIo
67,"Same Bitches (feat. G-Eazy & YG)","Post Malone",2742199,https://open.spotify.com/track/688QpQAwqsLdBR6lr13wK1
68,Heaven,"Kane Brown",2708075,https://open.spotify.com/track/1HXy5I3HTWq8OvxCn0z7G7
69,"New Light","John Mayer",2655592,https://open.spotify.com/track/3bH4HzoZZFq8UpZmI2AMgV
