,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,SAD!,XXXTENTACION,14323051,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
2,"Lucid Dreams","Juice WRLD",13826203,https://open.spotify.com/track/0X8DcetL926BYiPJYstJTc
3,Moonlight,XXXTENTACION,9913616,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
4,"Jocelyn Flores",XXXTENTACION,9353667,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
5,"Better Now","Post Malone",9164509,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
6,"Yes Indeed","Lil Baby",8898501,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
7,"I Like It","Cardi B",8871680,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
8,"Nice For What",Drake,8289953,https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN
9,"Girls Like You (feat. Cardi B)","Maroon 5",8249091,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
10,"All Mine","Kanye West",7822920,https://open.spotify.com/track/3qnoOm4fwZPBS116f5hpgF
11,"I'm Upset",Drake,7820080,https://open.spotify.com/track/54oMZ3blwWwuPN4wEoG5mk
12,changes,XXXTENTACION,7554622,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
13,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,7224825,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
14,"Taste (feat. Offset)",Tyga,6941837,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
15,"Psycho (feat. Ty Dolla $ign)","Post Malone",6908834,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
16,"God's Plan",Drake,6163837,https://open.spotify.com/track/6T8cJz5lAqGer9GUHGyelE
17,Youngblood,"5 Seconds of Summer",6162302,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
18,"Look Alive (feat. Drake)","BlocBoy JB",5958638,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
19,"Everybody Dies In Their Nightmares",XXXTENTACION,5887270,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7
20,"All Girls Are The Same","Juice WRLD",5665988,https://open.spotify.com/track/3H2JThgdBxezwj1wwafQS8
21,"Back To You","Selena Gomez",5507010,https://open.spotify.com/track/514rhnksEwHUh6LxXsQ4Y9
22,"the remedy for a broken heart (why am I so in love)",XXXTENTACION,5477411,https://open.spotify.com/track/4UKCKdYiLN6IMA5ZESUTL7
23,"no tears left to cry","Ariana Grande",5175431,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
24,"lovely (with Khalid)","Billie Eilish",5083158,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
25,Reborn,"KIDS SEE GHOSTS",4935149,https://open.spotify.com/track/4RVbK6cV0VqWdpCDcx3hiT
26,"rockstar (feat. 21 Savage)","Post Malone",4913727,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
27,"Bed (feat. Ariana Grande)","Nicki Minaj",4861958,https://open.spotify.com/track/1ZEm9cJC05rawV2tptNfTS
28,"Bigger Than You (feat. Drake & Quavo)","2 Chainz",4819196,https://open.spotify.com/track/5S1IUPueD0xE0vj4zU3nSf
29,"This Is America","Childish Gambino",4749308,https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9
30,"Praise The Lord (Da Shine) (feat. Skepta)","A$AP Rocky",4688052,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
31,"Jackie Chan",Tiësto,4597795,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
