,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"thank u, next","Ariana Grande",12871255,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
2,"Mo Bamba","Sheck Wes",10101181,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr
3,"SICKO MODE","Travis Scott",9791023,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
4,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",9054688,https://open.spotify.com/track/7l3E7lcozEodtVsSTCkcaA
5,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",8965297,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
6,"Without Me",Halsey,7448397,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
7,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",7046931,https://open.spotify.com/track/1A6OTy97kk0mMdm78rHsm8
8,BAD!,XXXTENTACION,6702875,https://open.spotify.com/track/4CH66Rxcjcj3VBHwmIBj4T
9,"Lucid Dreams","Juice WRLD",6067883,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
10,"Wake Up in the Sky","Gucci Mane",5734198,https://open.spotify.com/track/0QIjsbm2fh1cJ45XO9eGqq
11,"Armed And Dangerous","Juice WRLD",5713370,https://open.spotify.com/track/6SAKXCj5jyF6IgPCPbZ5ra
12,"when the party's over","Billie Eilish",5508934,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI
13,"All I Want for Christmas Is You","Mariah Carey",5434887,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
14,"come out and play","Billie Eilish",5233526,https://open.spotify.com/track/7wC5eZcFS1Q1BsQ35DU6H4
15,Happier,Marshmello,5204617,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
16,"Leave Me Alone","Flipp Dinero",5166280,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g
17,SAD!,XXXTENTACION,4955893,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
18,Better,Khalid,4944259,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
19,"Arms Around You (feat. Maluma & Swae Lee)",XXXTENTACION,4773411,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh
20,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,4718915,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
21,Topanga,"Trippie Redd",4695192,https://open.spotify.com/track/5aXgz1oKK8Q9z9xvTmSnrO
22,"MIA (feat. Drake)","Bad Bunny",4666245,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
23,Moonlight,XXXTENTACION,4594926,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
24,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",4562028,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
25,"10 Freaky Girls (with 21 Savage)","Metro Boomin",4482642,https://open.spotify.com/track/0AluA5RNsa4Cx6XRhf2hWZ
26,"Better Now","Post Malone",4391679,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
27,"Rockin' Around The Christmas Tree - Single Version","Brenda Lee",4301078,https://open.spotify.com/track/1XBc4r6ltXjkFJBrsttwIF
28,Nonstop,Drake,4256664,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
29,"Jingle Bell Rock","Bobby Helms",4218309,https://open.spotify.com/track/7vQbuQcyTflfCIOu3Uzzya
30,Money,"Cardi B",4083127,https://open.spotify.com/track/2GGMabyHXnJmjY6CXhhB2e
31,"Falling Down - Bonus Track","Lil Peep",3978398,https://open.spotify.com/track/4jvjzW7Hm0yK4LvvE0Paz9
32,"lovely (with Khalid)","Billie Eilish",3946671,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
33,"Santa Tell Me","Ariana Grande",3918460,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
34,"Fine China",Future,3909645,https://open.spotify.com/track/5274I4mUMnYczyeXkGDWZN
35,"It's the Most Wonderful Time of the Year","Andy Williams",3832859,https://open.spotify.com/track/5hslUAKq9I9CG2bAulFkHN
36,"Never Recover (Lil Baby & Gunna, Drake)","Lil Baby",3735708,https://open.spotify.com/track/6wWaVoUOzLQJHd3bWAUpdZ
37,"Taste (feat. Offset)",Tyga,3725803,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
38,"TIC TOC",6ix9ine,3578216,https://open.spotify.com/track/4m5Cd9kAbIxg6t9sMrQWtk
39,KIKA,6ix9ine,3574377,https://open.spotify.com/track/6Gy7rXB6Ku5vIWC7WGWsl3
40,"Yes Indeed","Lil Baby",3573526,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
41,"Jocelyn Flores",XXXTENTACION,3573518,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
42,"Eastside (with Halsey & Khalid)","benny blanco",3461848,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
43,"Don't Come Out The House (with 21 Savage)","Metro Boomin",3452559,https://open.spotify.com/track/2Grb4G6t9VIqo6moKUloom
44,MAMA,6ix9ine,3446791,https://open.spotify.com/track/1oJ8EDr2pv94IvSd6ZmDgo
45,WAKA,6ix9ine,3270802,https://open.spotify.com/track/6o79O9qBP3OAkWOXajAQIS
46,"1400 / 999 Freestyle","Trippie Redd",3266811,https://open.spotify.com/track/75lcPkAkUsKWHGBlGM476R
47,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,3220758,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
48,"Space Cadet (feat. Gunna)","Metro Boomin",3204498,https://open.spotify.com/track/1fewSx2d5KIZ04wsooEBOz
49,bellyache,"Billie Eilish",3191302,https://open.spotify.com/track/51NFxnQvaosfDDutk0tams
50,"All Girls Are The Same","Juice WRLD",3157282,https://open.spotify.com/track/0XySogm94T51XF5F2jumXm
51,idontwannabeyouanymore,"Billie Eilish",3155068,https://open.spotify.com/track/41zXlQxzTi6cGAjpOXyLYH
52,"Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding",3097051,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA
53,Shallow,"Lady Gaga",3091441,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
54,"Bohemian Rhapsody - Remastered 2011",Queen,3091331,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J
55,breathin,"Ariana Grande",3044843,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
56,"No Stylist (feat. Drake)","French Montana",3010464,https://open.spotify.com/track/04MLEeAMuV9IlHEsD8vF6A
57,"Lean Wit Me","Juice WRLD",2987358,https://open.spotify.com/track/29tc0GbW0pTSBZSCZF3NWk
58,STOOPID,6ix9ine,2981356,https://open.spotify.com/track/1jQvUmf16VE9WQCPuK2e8K
59,"It's Beginning to Look a Lot like Christmas","Michael Bublé",2961238,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
60,"A Holly Jolly Christmas - Single Version","Burl Ives",2896141,https://open.spotify.com/track/65Q2mv3UlVi9eO70OpsmSe
61,"Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)","Frank Sinatra",2888915,https://open.spotify.com/track/7inXu0Eaeg02VsM8kHNvzM
