,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"SICKO MODE","Travis Scott",12071818,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
2,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,11286750,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
3,"Lucid Dreams","Juice WRLD",10453245,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
4,"In My Feelings",Drake,10408120,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
5,Nonstop,Drake,7314039,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
6,SAD!,XXXTENTACION,7300834,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
7,"Taste (feat. Offset)",Tyga,7220577,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
8,breathin,"Ariana Grande",7111923,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
9,"God is a woman","Ariana Grande",6914922,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
10,"Eastside (with Halsey & Khalid)","benny blanco",6680892,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
11,Moonlight,XXXTENTACION,6672734,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
12,Happier,Marshmello,6451291,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
13,"I Like It","Cardi B",6305266,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
14,"Better Now","Post Malone",6294154,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
15,"No Brainer","DJ Khaled",6093774,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
16,"Yes Indeed","Lil Baby",6034202,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
17,STARGAZING,"Travis Scott",5945967,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m
18,"Girls Like You (feat. Cardi B)","Maroon 5",5527584,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
19,"Promises (with Sam Smith)","Calvin Harris",4748929,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
20,"Wasted (feat. Lil Uzi Vert)","Juice WRLD",4579204,https://open.spotify.com/track/3obgSF06ki98lYNLNq5vCB
21,"Psycho (feat. Ty Dolla $ign)","Post Malone",4553590,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
22,"Jocelyn Flores",XXXTENTACION,4546037,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
23,"All Girls Are The Same","Juice WRLD",4481204,https://open.spotify.com/track/0XySogm94T51XF5F2jumXm
24,Youngblood,"5 Seconds of Summer",4433395,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
25,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",YG,4396713,https://open.spotify.com/track/0ZNrc4kNeQYD9koZ3KvCsy
26,"Nice For What",Drake,4362646,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw
27,"God's Plan",Drake,4351886,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
28,"Lean Wit Me","Juice WRLD",4271589,https://open.spotify.com/track/29tc0GbW0pTSBZSCZF3NWk
29,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,4198856,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
30,"no tears left to cry","Ariana Grande",4173442,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
31,"Be Alright","Dean Lewis",4098294,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
32,"Mo Bamba","Sheck Wes",4094722,https://open.spotify.com/track/3QybPutx0Tjk472bBKjNWn
33,"Body (feat. brando)","Loud Luxury",4073421,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
34,YOSEMITE,"Travis Scott",4060977,https://open.spotify.com/track/7lAK3oHbfEnvUQWosrMMpR
35,"Taking A Walk","Trippie Redd",4057914,https://open.spotify.com/track/4mHgYpuGHu99Mw69E83CP2
36,changes,XXXTENTACION,3904375,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
37,"rockstar (feat. 21 Savage)","Post Malone",3829141,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
38,"Happy Now",Zedd,3753258,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
39,"Beautiful (feat. Camila Cabello)",Bazzi,3725792,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
40,"Jackie Chan",Tiësto,3692815,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
41,"Look Alive (feat. Drake)","BlocBoy JB",3658894,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
42,everytime,"Ariana Grande",3581116,https://open.spotify.com/track/0WdR2AyLW1Drd3OUdwezM0
43,"Praise The Lord (Da Shine) (feat. Skepta)","A$AP Rocky",3566164,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
44,"WORKIN ME",Quavo,3377180,https://open.spotify.com/track/33tNYw9oMtSkGe27NpgS64
45,"I Fall Apart","Post Malone",3350992,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
46,sweetener,"Ariana Grande",3243734,https://open.spotify.com/track/70khXICDeTTxgYtw3EysKH
47,"I'm Upset",Drake,3064948,https://open.spotify.com/track/3qN5qMTKyEEmiTZD38BNTT
48,SWISH,Tyga,3019495,https://open.spotify.com/track/55GiOwtxNajXVbpjjIzMnD
49,"Everybody Dies In Their Nightmares",XXXTENTACION,3012953,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7
50,"Mob Ties",Drake,2810793,https://open.spotify.com/track/7rC5Pl8rQSX4myONQHYPBK
51,Natural,"Imagine Dragons",2803903,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
52,"Te Boté - Remix","Nio Garcia",2793766,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
53,"Chanel (Go Get It) [feat. Gunna & Lil Baby]","Young Thug",2784801,https://open.spotify.com/track/0kCBorRrKZkSztd9m0QI3r
54,"The Return",Logic,2773320,https://open.spotify.com/track/0ATmjiSoHDCHeeQ9FcvZOW
