,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",12141634,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
2,"thank u, next","Ariana Grande",11776847,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
3,"SICKO MODE","Travis Scott",10201449,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
4,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",9834634,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z
5,"Going Bad (feat. Drake)","Meek Mill",9733478,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
6,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",9379459,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
7,imagine,"Ariana Grande",8639817,https://open.spotify.com/track/0todbbT9g5uQGbeFCiBf2F
8,"Mo Bamba","Sheck Wes",8577934,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr
9,"Without Me",Halsey,8261478,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
10,"All I Want for Christmas Is You","Mariah Carey",6774332,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
11,"Leave Me Alone","Flipp Dinero",6619217,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g
12,"whoa (mind in awe)",XXXTENTACION,6284263,https://open.spotify.com/track/7pdF27mSDuPWhppnHAmWHa
13,"Wake Up in the Sky","Gucci Mane",6192112,https://open.spotify.com/track/2G1tXoGBaEMJ7FKGnkf6ud
14,"Lucid Dreams","Juice WRLD",6103990,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
15,BAD!,XXXTENTACION,5906221,https://open.spotify.com/track/22An65gG31JLf9n18qjdhZ
16,"Jingle Bell Rock","Bobby Helms",5727401,https://open.spotify.com/track/7vQbuQcyTflfCIOu3Uzzya
17,"Rockin' Around The Christmas Tree","Brenda Lee",5634360,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
18,SAD!,XXXTENTACION,5308532,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
19,"Santa Tell Me","Ariana Grande",5226225,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
20,"It's the Most Wonderful Time of the Year","Andy Williams",5101604,https://open.spotify.com/track/5hslUAKq9I9CG2bAulFkHN
21,Happier,Marshmello,4933064,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
22,"MoshPit (feat. Juice WRLD)","Kodak Black",4904376,https://open.spotify.com/track/4KX8vXbouybtUptEyYxtIk
23,"Last Christmas",Wham!,4807043,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
24,"Armed And Dangerous","Juice WRLD",4806257,https://open.spotify.com/track/5wujBwqG7INdStqGd4tRMX
25,Moonlight,XXXTENTACION,4777150,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
26,"Better Now","Post Malone",4739124,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
27,KIKA,6ix9ine,4711588,https://open.spotify.com/track/6Gy7rXB6Ku5vIWC7WGWsl3
28,Better,Khalid,4524778,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
29,"when the party's over","Billie Eilish",4502328,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI
30,Nonstop,Drake,4486168,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
31,"Calling My Spirit","Kodak Black",4435367,https://open.spotify.com/track/2MShy1GSSgbmGUxADNIao5
32,"It's Beginning to Look a Lot like Christmas","Michael Bublé",4244370,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
33,"MIA (feat. Drake)","Bad Bunny",4174683,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
34,"Arms Around You (feat. Maluma & Swae Lee)",XXXTENTACION,4167296,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh
35,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",4140759,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
36,"A Holly Jolly Christmas - Single Version","Burl Ives",4063135,https://open.spotify.com/track/65Q2mv3UlVi9eO70OpsmSe
37,"Jocelyn Flores",XXXTENTACION,3986556,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
38,"Eastside (with Halsey & Khalid)","benny blanco",3975448,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
39,FEFE,6ix9ine,3956423,https://open.spotify.com/track/4QIyEq7TcTdAcxjI2AFlAK
40,"Do They Know It's Christmas? - 1984 Version","Band Aid",3927591,https://open.spotify.com/track/0247StOpd3AkeBQzANX4Zf
41,"High Hopes","Panic! At The Disco",3881732,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
42,"Taste (feat. Offset)",Tyga,3831288,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
43,"The Christmas Song (Merry Christmas To You)","Nat King Cole",3777949,https://open.spotify.com/track/4PS1e8f2LvuTFgUs1Cn3ON
44,"Yes Indeed","Lil Baby",3770208,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
45,Money,"Cardi B",3751153,https://open.spotify.com/track/2GGMabyHXnJmjY6CXhhB2e
46,Mistletoe,"Justin Bieber",3728575,https://open.spotify.com/track/7xapw9Oy21WpfEcib2ErSA
