,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Nice For What",Drake,19830250,https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN
2,"God's Plan",Drake,12884460,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
3,"I Like It","Cardi B",10820717,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
4,"Psycho (feat. Ty Dolla $ign)","Post Malone",10783652,https://open.spotify.com/track/65NwOZqoXny4JxqAPlfxRF
5,"Look Alive (feat. Drake)","BlocBoy JB",10271510,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
6,"Call Out My Name","The Weeknd",9653036,https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N
7,SAD!,XXXTENTACION,9159329,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
8,"Plug Walk","Rich The Kid",8484094,https://open.spotify.com/track/6mAz8D1TmlTuef90dbNIiZ
9,"Freaky Friday (feat. Chris Brown)","Lil Dicky",8012948,https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ
10,"Walk It Talk It",Migos,7899161,https://open.spotify.com/track/6n4U3TlzUGhdSFbUUhTvLP
11,"Be Careful","Cardi B",7347739,https://open.spotify.com/track/2Yl4OmDby9iitgNWZPwxkd
12,JAPAN,"Famous Dex",6849424,https://open.spotify.com/track/5PTG6rrL6EPFD9E2QMI2pl
13,"Love Lies (with Normani)",Khalid,6540962,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
14,"Ric Flair Drip (& Metro Boomin)",Offset,6060557,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
15,"The Middle",Zedd,6040903,https://open.spotify.com/track/2ARqIya5NAuvFVHSN3bL0m
16,Mine,Bazzi,5860101,https://open.spotify.com/track/7uzmGiiJyRfuViKKK3lVmR
17,"Powerglide (feat. Juicy J)","Rae Sremmurd",5724072,https://open.spotify.com/track/2yUbCEiaolfSMluDo9RMmG
18,"All The Stars (with SZA)","Kendrick Lamar",5345527,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
19,"One Kiss (with Dua Lipa)","Calvin Harris",5340947,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
20,Moonlight,XXXTENTACION,5305811,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
21,"Barbie Tingz","Nicki Minaj",5299011,https://open.spotify.com/track/2qsQ8eVDPmobZpvDxQCVQu
