,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"God's Plan",Drake,22071986,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
2,"All The Stars (with SZA)","Kendrick Lamar",11685682,https://open.spotify.com/track/2Imq77E6CEJR5TPUxlJvTY
3,"Look Alive (feat. Drake)","BlocBoy JB",10642407,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
4,"Pray For Me (with Kendrick Lamar)","The Weeknd",9016302,https://open.spotify.com/track/4ofvoCdXq99vpMZO4Cfp8x
5,Mine,Bazzi,8720860,https://open.spotify.com/track/6tHWl8ows5JOZq9Yfaqn3M
6,"Stir Fry",Migos,8619193,https://open.spotify.com/track/2UVbBKQOdFAekPTRsnkzcf
7,"King's Dead (with Kendrick Lamar, Future & James Blake)","Jay Rock",7300394,https://open.spotify.com/track/51rXHuKN8Loc4sUlKPODgH
8,rockstar,"Post Malone",7100228,https://open.spotify.com/track/1OmcAT5Y8eg5bUPv9qJT4R
9,"X (with 2 Chainz & Saudi)","ScHoolboy Q",7054307,https://open.spotify.com/track/4LmAnpjlhWTahvRkYR8xJa
10,"The Middle",Zedd,6827589,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
11,"I Fall Apart","Post Malone",6486800,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
12,"The Ways (with Swae Lee)",Khalid,6202262,https://open.spotify.com/track/5jyyPsIGM2yqkZN9R3TmvN
13,Narcos,Migos,6085337,https://open.spotify.com/track/0wbnC9AUenxp613TYaJsGK
14,"Finesse - Remix; feat. Cardi B","Bruno Mars",6042011,https://open.spotify.com/track/3Vo4wInECJQuz9BIBMOu8i
15,"Ric Flair Drip (& Metro Boomin)",Offset,5883834,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
16,Paramedic!,"SOB X RBE",5290644,https://open.spotify.com/track/2tPcTFiQF9MbVUyjZ3zDhA
17,"LOVE. FEAT. ZACARI.","Kendrick Lamar",5241482,https://open.spotify.com/track/6PGoSes0D9eUDeeAafB2As
18,"Big Shot (with Travis Scott)","Kendrick Lamar",4991717,https://open.spotify.com/track/5cXg9IQS34FzLVdHhp7hu7
19,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",4973100,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn
20,"Never Be the Same","Camila Cabello",4926091,https://open.spotify.com/track/4eWQlBRaTjPPUlzacqEeoQ
21,"PICK IT UP (feat. A$AP Rocky)","Famous Dex",4849961,https://open.spotify.com/track/3ncgNpxLoBQ65ABk4djDyd
22,"Bartier Cardi (feat. 21 Savage)","Cardi B",4766789,https://open.spotify.com/track/75FDPwaULRdYDn4StFN2rT
23,"Black Panther","Kendrick Lamar",4731285,https://open.spotify.com/track/5qN4HFkapdAOV94XPryVof
