,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"In My Feelings",Drake,13661457,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
2,"SICKO MODE","Travis Scott",13114707,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
3,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,11942140,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
4,"Lucid Dreams","Juice WRLD",10324168,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
5,STARGAZING,"Travis Scott",8655749,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m
6,SAD!,XXXTENTACION,7761059,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
7,"No Brainer","DJ Khaled",7586942,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
8,"Taste (feat. Offset)",Tyga,7246203,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
9,Nonstop,Drake,7167946,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
10,"Eastside (with Halsey & Khalid)","benny blanco",7094536,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
11,"I Like It","Cardi B",6875945,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
12,"Better Now","Post Malone",6666686,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
13,"Taking A Walk","Trippie Redd",6562798,https://open.spotify.com/track/4mHgYpuGHu99Mw69E83CP2
14,Moonlight,XXXTENTACION,6513943,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
15,"Girls Like You (feat. Cardi B)","Maroon 5",6067245,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
16,"Yes Indeed","Lil Baby",5730132,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
17,"Barbie Dreams","Nicki Minaj",5346433,https://open.spotify.com/track/6Poyf51k7W3NKnsGwAI90B
18,"God is a woman","Ariana Grande",5008833,https://open.spotify.com/track/7gkWXbAxIYuvtOpcN3p9GJ
19,"Nice For What",Drake,4876087,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw
20,YOSEMITE,"Travis Scott",4872867,https://open.spotify.com/track/7lAK3oHbfEnvUQWosrMMpR
21,Youngblood,"5 Seconds of Summer",4671139,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
22,"God's Plan",Drake,4626057,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
23,"Psycho (feat. Ty Dolla $ign)","Post Malone",4618130,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
24,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",YG,4360260,https://open.spotify.com/track/0ZNrc4kNeQYD9koZ3KvCsy
25,"All Girls Are The Same","Juice WRLD",4337806,https://open.spotify.com/track/0XySogm94T51XF5F2jumXm
26,"Jocelyn Flores",XXXTENTACION,4293627,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
27,CAROUSEL,"Travis Scott",4206081,https://open.spotify.com/track/7KZ5MMVgBVox9ycroB2UrI
28,"Wasted (feat. Lil Uzi Vert)","Juice WRLD",4135541,https://open.spotify.com/track/3obgSF06ki98lYNLNq5vCB
29,"Body (feat. brando)","Loud Luxury",4091985,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
30,"Beautiful (feat. Camila Cabello)",Bazzi,4036632,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
31,"WAKE UP","Travis Scott",3979424,https://open.spotify.com/track/20MuVazoNMv6xjKPnRFOxG
32,"Jackie Chan",Tiësto,3972403,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
33,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,3913215,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
34,"Happy Now",Zedd,3841930,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
35,changes,XXXTENTACION,3824566,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
36,"Look Alive (feat. Drake)","BlocBoy JB",3735726,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
37,"CAN'T SAY","Travis Scott",3723025,https://open.spotify.com/track/27a1mYSG5tYg7dmEjWBcmL
38,"rockstar (feat. 21 Savage)","Post Malone",3687933,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
39,"Lean Wit Me","Juice WRLD",3654398,https://open.spotify.com/track/29tc0GbW0pTSBZSCZF3NWk
40,"WORKIN ME",Quavo,3596518,https://open.spotify.com/track/33tNYw9oMtSkGe27NpgS64
41,"BUTTERFLY EFFECT","Travis Scott",3537879,https://open.spotify.com/track/6xcJyGpfZbuuiequtnlKt4
42,SWISH,Tyga,3501000,https://open.spotify.com/track/55GiOwtxNajXVbpjjIzMnD
43,"NO BYSTANDERS","Travis Scott",3484309,https://open.spotify.com/track/6OaVWaGfhXn70ZJfdVcabn
44,"R.I.P. SCREW","Travis Scott",3450011,https://open.spotify.com/track/4SZepBIPDRwPaHIjAKwRDb
45,"STOP TRYING TO BE GOD","Travis Scott",3444231,https://open.spotify.com/track/1xYpVRspgaLxdJLOTQkTjg
46,"I'm Upset",Drake,3389143,https://open.spotify.com/track/3qN5qMTKyEEmiTZD38BNTT
47,"Praise The Lord (Da Shine) (feat. Skepta)","A$AP Rocky",3338099,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
48,"5% TINT","Travis Scott",3246556,https://open.spotify.com/track/11kDth1aKUEUMq9r1pqyds
49,"I Fall Apart","Post Malone",3127916,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
50,"Te Boté - Remix","Nio Garcia",3051814,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
51,Rise,"Jonas Blue",2960905,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
52,"Shake It Up","Trippie Redd",2954742,https://open.spotify.com/track/6yz0Jndhv0QjKdpcEMbOjz
53,"Missing My Idols","Trippie Redd",2938804,https://open.spotify.com/track/5HnxL39pSgVVQMLP7WnSfv
54,"Don’t Matter To Me (with Michael Jackson)",Drake,2930509,https://open.spotify.com/track/6G8kHiVZ1jW7vHMPVRNZU0
55,"In My Mind",Dynoro,2873491,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
56,"lovely (with Khalid)","Billie Eilish",2868942,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
57,"Mob Ties",Drake,2867727,https://open.spotify.com/track/7rC5Pl8rQSX4myONQHYPBK
58,NC-17,"Travis Scott",2832714,https://open.spotify.com/track/6BJbOXDlgVAXSaq6wYFYT2
59,"WHO? WHAT!","Travis Scott",2826235,https://open.spotify.com/track/4KYS9GK68yeuUJ8vJfPxrq
60,"Bed (feat. Ariana Grande)","Nicki Minaj",2788619,https://open.spotify.com/track/3L4GsGLgxpHieVQH86H8bv
