,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,SAD!,XXXTENTACION,14732321,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
2,"Lucid Dreams","Juice WRLD",13963947,https://open.spotify.com/track/0X8DcetL926BYiPJYstJTc
3,Moonlight,XXXTENTACION,11929608,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
4,"I Like It","Cardi B",9018634,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
5,"Jocelyn Flores",XXXTENTACION,9016552,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
6,"Better Now","Post Malone",8274142,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
7,changes,XXXTENTACION,8147473,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
8,"Yes Indeed","Lil Baby",8006475,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
9,"Girls Like You (feat. Cardi B)","Maroon 5",7880357,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
10,"Taste (feat. Offset)",Tyga,7700992,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
11,"Nice For What",Drake,7565988,https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN
12,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,7204836,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
13,"I'm Upset",Drake,6840898,https://open.spotify.com/track/54oMZ3blwWwuPN4wEoG5mk
14,"Psycho (feat. Ty Dolla $ign)","Post Malone",6481012,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
15,"All Mine","Kanye West",6298750,https://open.spotify.com/track/3qnoOm4fwZPBS116f5hpgF
16,"All Girls Are The Same","Juice WRLD",6052811,https://open.spotify.com/track/3H2JThgdBxezwj1wwafQS8
17,"Look Alive (feat. Drake)","BlocBoy JB",5755223,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
18,"Everybody Dies In Their Nightmares",XXXTENTACION,5706496,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7
19,"God's Plan",Drake,5647098,https://open.spotify.com/track/6T8cJz5lAqGer9GUHGyelE
20,"the remedy for a broken heart (why am I so in love)",XXXTENTACION,5358803,https://open.spotify.com/track/4UKCKdYiLN6IMA5ZESUTL7
21,"Back To You","Selena Gomez",5166439,https://open.spotify.com/track/514rhnksEwHUh6LxXsQ4Y9
22,"no tears left to cry","Ariana Grande",5157588,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
23,"Ocean (feat. Khalid)","Martin Garrix",4996880,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
24,"Jackie Chan",Tiësto,4979924,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
25,Youngblood,"5 Seconds of Summer",4945076,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
