,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"God's Plan",Drake,23327237,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
2,"Psycho (feat. Ty Dolla $ign)","Post Malone",22727218,https://open.spotify.com/track/65NwOZqoXny4JxqAPlfxRF
3,"All The Stars (with SZA)","Kendrick Lamar",12006752,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
4,"Look Alive (feat. Drake)","BlocBoy JB",11672672,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
5,"Stir Fry",Migos,8848208,https://open.spotify.com/track/2UVbBKQOdFAekPTRsnkzcf
6,Mine,Bazzi,8830008,https://open.spotify.com/track/6tHWl8ows5JOZq9Yfaqn3M
7,"Pray For Me (with Kendrick Lamar)","The Weeknd",8331820,https://open.spotify.com/track/4ofvoCdXq99vpMZO4Cfp8x
8,"The Middle",Zedd,7714406,https://open.spotify.com/track/2ARqIya5NAuvFVHSN3bL0m
9,"King's Dead (with Kendrick Lamar, Future & James Blake)","Jay Rock",7601008,https://open.spotify.com/track/51rXHuKN8Loc4sUlKPODgH
10,"44 More",Logic,7353991,https://open.spotify.com/track/6iyp6udVpLuq3MCUulZT4h
11,"Love Lies (with Normani)",Khalid,7338268,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
12,rockstar,"Post Malone",7022044,https://open.spotify.com/track/2U7Hu2RaNQNRi7izoJyZaX
13,"I Fall Apart","Post Malone",6910639,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
14,"Ric Flair Drip (& Metro Boomin)",Offset,5679905,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
15,Narcos,Migos,5566814,https://open.spotify.com/track/0wbnC9AUenxp613TYaJsGK
16,"Finesse - Remix; feat. Cardi B","Bruno Mars",5137374,https://open.spotify.com/track/3Vo4wInECJQuz9BIBMOu8i
17,FRIENDS,Marshmello,5108078,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
18,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",4998185,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn
19,"LOVE. FEAT. ZACARI.","Kendrick Lamar",4919733,https://open.spotify.com/track/6PGoSes0D9eUDeeAafB2As
20,"The Ways (with Swae Lee)",Khalid,4742437,https://open.spotify.com/track/5jyyPsIGM2yqkZN9R3TmvN
21,"X (with 2 Chainz & Saudi)","ScHoolboy Q",4709599,https://open.spotify.com/track/4LmAnpjlhWTahvRkYR8xJa
22,"Never Be the Same","Camila Cabello",4491122,https://open.spotify.com/track/4eWQlBRaTjPPUlzacqEeoQ
23,"Sky Walker (feat. Travis Scott)",Miguel,4446735,https://open.spotify.com/track/5WoaF1B5XIEnWfmb5NZikf
24,Betrayed,"Lil Xan",4444785,https://open.spotify.com/track/6NWl2m8asvH83xjuXVNsuG
25,IDGAF,"Dua Lipa",4376528,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
26,"XO Tour Llif3","Lil Uzi Vert",4180381,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
27,"PICK IT UP (feat. A$AP Rocky)","Famous Dex",4116403,https://open.spotify.com/track/3ncgNpxLoBQ65ABk4djDyd
28,"Candy Paint","Post Malone",4114865,https://open.spotify.com/track/42CeaId2XNlxugDvyqHfDf
29,"Bartier Cardi (feat. 21 Savage)","Cardi B",4104900,https://open.spotify.com/track/75FDPwaULRdYDn4StFN2rT
30,"Nowadays (feat. Landon Cube)","Lil Skies",4036634,https://open.spotify.com/track/2u7mxWSeoqTXndK5e08jMp
31,"Havana (feat. Young Thug)","Camila Cabello",4028719,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
32,"Bounce Out With That","YBN Nahmir",4027694,https://open.spotify.com/track/5lZsh9Qf7CbHI9Fcc7Zcsq
33,"No Limit",G-Eazy,4022281,https://open.spotify.com/track/2DQ1ITjI0YoLFzuADN1ZBW
34,Congratulations,"Post Malone",3975393,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
35,RONDO,6ix9ine,3924801,https://open.spotify.com/track/1Y500yrabUJY2mIQS3RDt4
36,Paramedic!,"SOB X RBE",3847952,https://open.spotify.com/track/2tPcTFiQF9MbVUyjZ3zDhA
37,"New Freezer (feat. Kendrick Lamar)","Rich The Kid",3787819,https://open.spotify.com/track/4pYZLpX23Vx8rwDpJCpPTA
38,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld",3783795,https://open.spotify.com/track/5AEtlRudpgdT5FtNiuly6Y
39,BILLY,6ix9ine,3778407,https://open.spotify.com/track/7bRRHQelMfrP86QYQlCsAq
