,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Nice For What",Drake,11939186,https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN
2,"This Is America","Childish Gambino",11739125,https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9
3,"Yes Indeed","Lil Baby",11493709,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
4,"Better Now","Post Malone",10518738,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
5,"Psycho (feat. Ty Dolla $ign)","Post Malone",9001378,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
6,"God's Plan",Drake,8623146,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
7,"Look Alive (feat. Drake)","BlocBoy JB",7551040,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
8,"I Like It","Cardi B",7225756,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
9,"Lucid Dreams","Juice WRLD",6822774,https://open.spotify.com/track/0X8DcetL926BYiPJYstJTc
10,"rockstar (feat. 21 Savage)","Post Malone",6200199,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
11,Paranoid,"Post Malone",6107002,https://open.spotify.com/track/3fpVWegR6YOS1Yk5HSMYIq
12,"Ball For Me (feat. Nicki Minaj)","Post Malone",5811426,https://open.spotify.com/track/6IaieqiCVvsNvEt6Y7yOFa
13,"Walk It Talk It",Migos,5788279,https://open.spotify.com/track/6n4U3TlzUGhdSFbUUhTvLP
14,"Plug Walk","Rich The Kid",5739362,https://open.spotify.com/track/6mAz8D1TmlTuef90dbNIiZ
15,SAD!,XXXTENTACION,5516756,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
16,"Spoil My Night (feat. Swae Lee)","Post Malone",5362962,https://open.spotify.com/track/5VuxWXbt7XENQCtE9TzpTv
17,"no tears left to cry","Ariana Grande",5296282,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
18,"Powerglide (feat. Juicy J) - From SR3MM","Rae Sremmurd",5248903,https://open.spotify.com/track/1BuZAIO8WZpavWVbbq3Lci
19,Stay,"Post Malone",5204493,https://open.spotify.com/track/4H7WNRErSbONkM06blBoGc
20,"Ric Flair Drip (& Metro Boomin)",Offset,5170942,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
21,"FAKE LOVE",BTS,5090331,https://open.spotify.com/track/3aW0ds4A4tSQDIp75FqWTo
22,"Rich & Sad","Post Malone",5058473,https://open.spotify.com/track/2VdT56BGpdqNHUgOe1j5vc
23,"Watch (feat. Lil Uzi Vert & Kanye West)","Travis Scott",4989289,https://open.spotify.com/track/3DoBTwfr8yi2LN08SBpFkN
