,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",12545042,https://open.spotify.com/track/7l3E7lcozEodtVsSTCkcaA
2,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",10667603,https://open.spotify.com/track/1A6OTy97kk0mMdm78rHsm8
3,"Mo Bamba","Sheck Wes",10191108,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr
4,"SICKO MODE","Travis Scott",10116917,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
5,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",9670014,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
6,"Fine China",Future,9273054,https://open.spotify.com/track/5274I4mUMnYczyeXkGDWZN
7,"Without Me",Halsey,9065617,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
8,"MIA (feat. Drake)","Bad Bunny",8736672,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
9,Better,Khalid,8512173,https://open.spotify.com/track/2OpBganfGk2GVdSlRdxzaX
10,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",7655889,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
11,"Lucid Dreams","Juice WRLD",7428401,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
12,Happier,Marshmello,7024499,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
13,"when the party's over","Billie Eilish",6923703,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI
14,Moonlight,XXXTENTACION,6246862,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
15,SAD!,XXXTENTACION,6129247,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
16,"Never Recover (Lil Baby & Gunna, Drake)","Lil Baby",6125067,https://open.spotify.com/track/6wWaVoUOzLQJHd3bWAUpdZ
17,Shallow,"Lady Gaga",5907827,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
