,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"This Is America","Childish Gambino",15758906,https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9
2,"Nice For What",Drake,12687517,https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN
3,"Better Now","Post Malone",11831862,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
4,"Psycho (feat. Ty Dolla $ign)","Post Malone",10307897,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
5,"God's Plan",Drake,9030702,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
6,"Look Alive (feat. Drake)","BlocBoy JB",7997527,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
7,Paranoid,"Post Malone",7452991,https://open.spotify.com/track/3fpVWegR6YOS1Yk5HSMYIq
8,"I Like It","Cardi B",7168626,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
9,"rockstar (feat. 21 Savage)","Post Malone",7029639,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
10,Stay,"Post Malone",6581872,https://open.spotify.com/track/4H7WNRErSbONkM06blBoGc
11,"Spoil My Night (feat. Swae Lee)","Post Malone",6547290,https://open.spotify.com/track/5VuxWXbt7XENQCtE9TzpTv
12,"Rich & Sad","Post Malone",6319363,https://open.spotify.com/track/2VdT56BGpdqNHUgOe1j5vc
13,"Watch (feat. Lil Uzi Vert & Kanye West)","Travis Scott",6283230,https://open.spotify.com/track/3DoBTwfr8yi2LN08SBpFkN
14,"no tears left to cry","Ariana Grande",6195709,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
15,"Plug Walk","Rich The Kid",6050543,https://open.spotify.com/track/6mAz8D1TmlTuef90dbNIiZ
16,SAD!,XXXTENTACION,5921607,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
17,"Ball For Me (feat. Nicki Minaj)","Post Malone",5910066,https://open.spotify.com/track/6IaieqiCVvsNvEt6Y7yOFa
18,KOD,"J. Cole",5767580,https://open.spotify.com/track/7yotKA30dwTKNEGomV9ZsI
19,"Walk It Talk It",Migos,5642223,https://open.spotify.com/track/6n4U3TlzUGhdSFbUUhTvLP
20,OTW,Khalid,5521352,https://open.spotify.com/track/6Hgh47WXVKtXN5zGOu0hjI
21,"Powerglide (feat. Juicy J) - From SR3MM","Rae Sremmurd",5336885,https://open.spotify.com/track/1BuZAIO8WZpavWVbbq3Lci
22,"Candy Paint","Post Malone",5249862,https://open.spotify.com/track/32lItqlMi4LBhb4k0BaSaC
23,JAPAN,"Famous Dex",5229838,https://open.spotify.com/track/5PTG6rrL6EPFD9E2QMI2pl
