,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",11011445,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
2,"SICKO MODE","Travis Scott",9596879,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
3,"Never Recover (Lil Baby & Gunna, Drake)","Lil Baby",9209570,https://open.spotify.com/track/6wWaVoUOzLQJHd3bWAUpdZ
4,"Mo Bamba","Sheck Wes",9029401,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr
5,"Mona Lisa (feat. Kendrick Lamar)","Lil Wayne",8749506,https://open.spotify.com/track/0dbTQYW3Ad1FTzIA9t90E8
6,"I Love It (& Lil Pump)","Kanye West",7983540,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
7,"Lucid Dreams","Juice WRLD",7972482,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
8,Happier,Marshmello,7970081,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
9,STOOPID,6ix9ine,7880641,https://open.spotify.com/track/1jQvUmf16VE9WQCPuK2e8K
10,"Falling Down - Bonus Track","Lil Peep",7874176,https://open.spotify.com/track/0Dn40gxVCMo5TkgS8Ik18Q
11,"Without Me",Halsey,7854334,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
12,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",7546445,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
13,Moonlight,XXXTENTACION,6909697,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
14,SAD!,XXXTENTACION,6568086,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
15,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,6513175,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
16,"Don't Cry (feat. XXXTENTACION)","Lil Wayne",6037654,https://open.spotify.com/track/5BQrp63SHCVf4bzCzJePne
17,Nonstop,Drake,6027942,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
18,Better,Khalid,5569417,https://open.spotify.com/track/4T3fNx3CgwDRRYgmFCbD4J
19,Uproar,"Lil Wayne",5506298,https://open.spotify.com/track/3wScL5W8H40zzCKN0atfBk
20,Noticed,"Lil Mosey",5454115,https://open.spotify.com/track/7d6XJZjnm7iWcKwYL9z5kC
21,"New Patek","Lil Uzi Vert",5379174,https://open.spotify.com/track/0Fpen1PTuEnCmOJtUU9Iud
22,Shallow,"Lady Gaga",5339299,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
23,"Better Now","Post Malone",5330797,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
24,"Wake Up in the Sky","Gucci Mane",5292998,https://open.spotify.com/track/0QIjsbm2fh1cJ45XO9eGqq
25,"In My Feelings",Drake,5057595,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
26,"Eastside (with Halsey & Khalid)","benny blanco",5045066,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
27,"Yes Indeed","Lil Baby",5014229,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
28,"This Feeling (feat. Kelsea Ballerini)","The Chainsmokers",4917321,https://open.spotify.com/track/15kQGEy89K8deJcZVFEn0N
29,"Taste (feat. Offset)",Tyga,4820821,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
30,"Let It Fly (feat. Travis Scott)","Lil Wayne",4654156,https://open.spotify.com/track/0CBQ0m3mufWH75LTYB3s6h
31,"Lucky You (feat. Joyner Lucas)",Eminem,4595636,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
32,"Jocelyn Flores",XXXTENTACION,4511751,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
33,"I Like It","Cardi B",4143706,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
34,Dedicate,"Lil Wayne",4078732,https://open.spotify.com/track/0Y7di9ZCmB6Elad5WISaPc
35,"Leave Me Alone","Flipp Dinero",4053352,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g
36,"No Stylist (feat. Drake)","French Montana",4052814,https://open.spotify.com/track/04MLEeAMuV9IlHEsD8vF6A
37,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",YG,3986178,https://open.spotify.com/track/0ZNrc4kNeQYD9koZ3KvCsy
38,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,3947080,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
