,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"In My Feelings",Drake,19572713,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
2,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,15416204,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
3,"Lucid Dreams","Juice WRLD",10949086,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
4,"No Brainer","DJ Khaled",9800346,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
5,SAD!,XXXTENTACION,8753671,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
6,"Taste (feat. Offset)",Tyga,8725996,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
7,"I Like It","Cardi B",8364343,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
8,Nonstop,Drake,7899287,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
9,Moonlight,XXXTENTACION,7448513,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
10,"Eastside (with Halsey & Khalid)","benny blanco",7078914,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
11,"Better Now","Post Malone",7026472,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
12,"God is a woman","Ariana Grande",6889408,https://open.spotify.com/track/7gkWXbAxIYuvtOpcN3p9GJ
13,"Girls Like You (feat. Cardi B)","Maroon 5",6800982,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
14,"Yes Indeed","Lil Baby",6242225,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
15,"Nice For What",Drake,5994266,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw
16,"God's Plan",Drake,5316122,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
17,"Psycho (feat. Ty Dolla $ign)","Post Malone",5030764,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
18,"Don’t Matter To Me (with Michael Jackson)",Drake,4856745,https://open.spotify.com/track/6G8kHiVZ1jW7vHMPVRNZU0
19,Youngblood,"5 Seconds of Summer",4833253,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
20,"I'm Upset",Drake,4805435,https://open.spotify.com/track/3qN5qMTKyEEmiTZD38BNTT
21,"Jackie Chan",Tiësto,4699018,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
22,"Jocelyn Flores",XXXTENTACION,4696417,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
23,"All Girls Are The Same","Juice WRLD",4499373,https://open.spotify.com/track/0XySogm94T51XF5F2jumXm
24,changes,XXXTENTACION,4363488,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
25,"Wasted (feat. Lil Uzi Vert)","Juice WRLD",4337224,https://open.spotify.com/track/3obgSF06ki98lYNLNq5vCB
26,Body,"Loud Luxury",4298739,https://open.spotify.com/track/43V1z6QToNNWNldV4FEG6r
27,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,4179540,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
28,"Look Alive (feat. Drake)","BlocBoy JB",4063078,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
29,"Mob Ties",Drake,4031214,https://open.spotify.com/track/7rC5Pl8rQSX4myONQHYPBK
