,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,rockstar,"Post Malone",9029173,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx
2,"Havana (feat. Young Thug)","Camila Cabello",7603077,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
3,"Finesse - Remix; feat. Cardi B","Bruno Mars",7415653,https://open.spotify.com/track/3Vo4wInECJQuz9BIBMOu8i
4,"No Limit",G-Eazy,7180976,https://open.spotify.com/track/2DQ1ITjI0YoLFzuADN1ZBW
5,"Never Be the Same","Camila Cabello",6865390,https://open.spotify.com/track/4eWQlBRaTjPPUlzacqEeoQ
6,"I Fall Apart","Post Malone",6657315,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
7,"Bartier Cardi (feat. 21 Savage)","Cardi B",6578144,https://open.spotify.com/track/75FDPwaULRdYDn4StFN2rT
8,"Ric Flair Drip (& Metro Boomin)",Offset,6254776,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
9,"All The Stars (with SZA)","Kendrick Lamar",6083734,https://open.spotify.com/track/12SJpYZEdj4kzWZ8FPFg4Y
10,"Him & I (with Halsey)",G-Eazy,5682309,https://open.spotify.com/track/5k38wzpLb15YgncyWdTZE4
11,"LOVE. FEAT. ZACARI.","Kendrick Lamar",5385632,https://open.spotify.com/track/6PGoSes0D9eUDeeAafB2As
12,"Codeine Dreaming (feat. Lil Wayne)","Kodak Black",5278741,https://open.spotify.com/track/4DTpngLjoHj5gFxEZFeD3J
13,"Let You Down",NF,5102701,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr
14,"PICK IT UP (feat. A$AP Rocky)","Famous Dex",4912350,https://open.spotify.com/track/3ncgNpxLoBQ65ABk4djDyd
15,"Candy Paint","Post Malone",4761542,https://open.spotify.com/track/42CeaId2XNlxugDvyqHfDf
16,"XO Tour Llif3","Lil Uzi Vert",4731679,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
