,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"I Love It (& Lil Pump)","Kanye West",12916029,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
2,"SICKO MODE","Travis Scott",10302112,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
3,"Lucky You (feat. Joyner Lucas)",Eminem,10007628,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
4,"Lucid Dreams","Juice WRLD",9128540,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
5,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,8790145,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
6,"Wake Up in the Sky","Gucci Mane",7247234,https://open.spotify.com/track/0QIjsbm2fh1cJ45XO9eGqq
7,"In My Feelings",Drake,7222388,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
8,SAD!,XXXTENTACION,6972525,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
9,Nonstop,Drake,6742437,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
10,"Mo Bamba","Sheck Wes",6559678,https://open.spotify.com/track/3QybPutx0Tjk472bBKjNWn
11,Moonlight,XXXTENTACION,6364605,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
12,Happier,Marshmello,6246808,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
13,Better,Khalid,6091763,https://open.spotify.com/track/4T3fNx3CgwDRRYgmFCbD4J
14,"Eastside (with Halsey & Khalid)","benny blanco",6078892,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
15,"Taste (feat. Offset)",Tyga,5947662,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
16,"Yes Indeed","Lil Baby",5832220,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
17,"Better Now","Post Malone",5791477,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
18,"New Patek","Lil Uzi Vert",5604612,https://open.spotify.com/track/0Fpen1PTuEnCmOJtUU9Iud
19,"Drip Too Hard","Lil Baby",5248943,https://open.spotify.com/track/1BxkZE73h9BN3qwuA15TA3
20,"I Like It","Cardi B",5054642,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
21,"The Ringer",Eminem,4972199,https://open.spotify.com/track/2jt2WxXMCD4zjACthkJQVE
22,STARGAZING,"Travis Scott",4841491,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m
23,"Jocelyn Flores",XXXTENTACION,4693159,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
24,"Self Care","Mac Miller",4633012,https://open.spotify.com/track/5bJ1DrEM4hNCafcDd1oxHx
25,Noticed,"Lil Mosey",4518217,https://open.spotify.com/track/7d6XJZjnm7iWcKwYL9z5kC
26,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",YG,4506868,https://open.spotify.com/track/0ZNrc4kNeQYD9koZ3KvCsy
27,breathin,"Ariana Grande",4492809,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
28,Natural,"Imagine Dragons",4446543,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
29,"SLOW DANCING IN THE DARK",Joji,4434820,https://open.spotify.com/track/0UyljEbX9dqI1K0sqdv6B6
30,"Lean Wit Me","Juice WRLD",4390988,https://open.spotify.com/track/29tc0GbW0pTSBZSCZF3NWk
31,"Girls Like You (feat. Cardi B)","Maroon 5",4338815,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
32,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,4257381,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
33,"Falling Down - Bonus Track","Lil Peep",4231947,https://open.spotify.com/track/0Dn40gxVCMo5TkgS8Ik18Q
34,"All Girls Are The Same","Juice WRLD",4210388,https://open.spotify.com/track/0XySogm94T51XF5F2jumXm
35,"No Brainer","DJ Khaled",4039703,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
36,"God is a woman","Ariana Grande",4015450,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
37,"Be Alright","Dean Lewis",3986791,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
38,"Psycho (feat. Ty Dolla $ign)","Post Malone",3936185,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
39,"Electricity (with Dua Lipa)","Silk City",3896018,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
40,"God's Plan",Drake,3884440,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
41,changes,XXXTENTACION,3821422,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
42,"Not Alike (feat. Royce Da 5'9)",Eminem,3805793,https://open.spotify.com/track/28FGV3ORH14MYORd7s5dlU
43,"Promises (with Sam Smith)","Calvin Harris",3730176,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
44,"Wasted (feat. Lil Uzi Vert)","Juice WRLD",3727346,https://open.spotify.com/track/3obgSF06ki98lYNLNq5vCB
45,Youngblood,"5 Seconds of Summer",3694455,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
46,Fall,Eminem,3692916,https://open.spotify.com/track/58QhkbaAkLFnn7JwAnAato
47,"Nice For What",Drake,3615564,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw
48,"rockstar (feat. 21 Savage)","Post Malone",3530257,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
49,"Drew Barrymore","Bryce Vine",3497911,https://open.spotify.com/track/0OgGn1ofaj55l2PcihQQGV
50,Thunderclouds,Sia,3443247,https://open.spotify.com/track/5a8RPWgKSmcGBGcffmIrUi
51,YOSEMITE,"Travis Scott",3410071,https://open.spotify.com/track/7lAK3oHbfEnvUQWosrMMpR
52,"RAP DEVIL","Machine Gun Kelly",3363301,https://open.spotify.com/track/63TyoT9Ee03rQxv8xmdJ2l
53,"Look Alive (feat. Drake)","BlocBoy JB",3295976,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
