,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Better Now","Post Malone",14330849,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
2,"Nice For What",Drake,13782798,https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN
3,"Psycho (feat. Ty Dolla $ign)","Post Malone",12125300,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
4,"This Is America","Childish Gambino",12111409,https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9
5,"God's Plan",Drake,9818234,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
6,Paranoid,"Post Malone",9713407,https://open.spotify.com/track/3fpVWegR6YOS1Yk5HSMYIq
7,Stay,"Post Malone",9052877,https://open.spotify.com/track/4H7WNRErSbONkM06blBoGc
8,"Watch (feat. Lil Uzi Vert & Kanye West)","Travis Scott",8871188,https://open.spotify.com/track/3DoBTwfr8yi2LN08SBpFkN
9,"Rich & Sad","Post Malone",8303512,https://open.spotify.com/track/2VdT56BGpdqNHUgOe1j5vc
10,"rockstar (feat. 21 Savage)","Post Malone",8212029,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
11,"Look Alive (feat. Drake)","BlocBoy JB",8193026,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
12,"Spoil My Night (feat. Swae Lee)","Post Malone",8144740,https://open.spotify.com/track/5VuxWXbt7XENQCtE9TzpTv
13,"I Like It","Cardi B",7853027,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
14,"Ball For Me (feat. Nicki Minaj)","Post Malone",7472946,https://open.spotify.com/track/6IaieqiCVvsNvEt6Y7yOFa
15,"no tears left to cry","Ariana Grande",7292739,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
16,SAD!,XXXTENTACION,7014955,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
17,"Over Now","Post Malone",6839145,https://open.spotify.com/track/09IOPhEh1OMe0HD9b36FJk
18,KOD,"J. Cole",6818332,https://open.spotify.com/track/7yotKA30dwTKNEGomV9ZsI
19,"Zack And Codeine","Post Malone",6699738,https://open.spotify.com/track/5lZZmityu9TAjNvSY6GLhR
20,"Candy Paint","Post Malone",6659015,https://open.spotify.com/track/32lItqlMi4LBhb4k0BaSaC
21,"Plug Walk","Rich The Kid",6376415,https://open.spotify.com/track/6mAz8D1TmlTuef90dbNIiZ
