,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"In My Feelings",Drake,30747676,https://open.spotify.com/track/0bAkKNCQfWkexHFn7fIKns
2,"Lucid Dreams","Juice WRLD",12930705,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
3,Nonstop,Drake,12312859,https://open.spotify.com/track/2Vx8E3K5icPZR7OCklWBXX
4,"God is a woman","Ariana Grande",10771324,https://open.spotify.com/track/7gkWXbAxIYuvtOpcN3p9GJ
5,SAD!,XXXTENTACION,10503061,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
6,"Taste (feat. Offset)",Tyga,9777479,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
7,"Don’t Matter To Me",Drake,9769263,https://open.spotify.com/track/36ONiya0OANYknz0GgJmwB
8,"I Like It","Cardi B",9278476,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
9,Moonlight,XXXTENTACION,8544143,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
10,"Girls Like You (feat. Cardi B)","Maroon 5",8257586,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
11,"Nice For What",Drake,8193242,https://open.spotify.com/track/0HVv5bEOiI9a0QfgcASXpX
12,"Better Now","Post Malone",7877292,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
13,"Summertime Magic","Childish Gambino",7519515,https://open.spotify.com/track/4j3GWI86JvSaF0BLdmgcfF
14,"Yes Indeed","Lil Baby",7436762,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
15,"I'm Upset",Drake,7313974,https://open.spotify.com/track/1iSZPndzmY6NvL1jAtIvY1
16,"God's Plan",Drake,6886838,https://open.spotify.com/track/2VWbHHhWnMzKWPUs4IEEW9
17,"Mob Ties",Drake,6010125,https://open.spotify.com/track/7txPE73wHbuXYkM1h8zNrG
18,"Jackie Chan",Tiësto,5589022,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
19,Youngblood,"5 Seconds of Summer",5476526,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
20,"Psycho (feat. Ty Dolla $ign)","Post Malone",5461822,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
21,"Eastside (with Halsey & Khalid)","benny blanco",5325080,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
22,"Ocean (feat. Khalid)","Martin Garrix",5277329,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
23,"Jocelyn Flores",XXXTENTACION,5145261,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
24,"All Girls Are The Same","Juice WRLD",5073925,https://open.spotify.com/track/0XySogm94T51XF5F2jumXm
25,changes,XXXTENTACION,5023686,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
26,APESHIT,"The Carters",4830730,https://open.spotify.com/track/0E6PsO3ymCfUh7pJQjBgkj
27,"Look Alive (feat. Drake)","BlocBoy JB",4826668,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
28,"Boo'd Up","Ella Mai",4748460,https://open.spotify.com/track/0At2qAoaVjIwWNAqrscXli
29,"no tears left to cry","Ariana Grande",4509464,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
30,"Bed (feat. Ariana Grande)","Nicki Minaj",4444780,https://open.spotify.com/track/1ZEm9cJC05rawV2tptNfTS
31,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,4353823,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
32,"All Mine","Kanye West",4347034,https://open.spotify.com/track/3qnoOm4fwZPBS116f5hpgF
33,"Wasted (feat. Lil Uzi Vert)","Juice WRLD",4274567,https://open.spotify.com/track/3obgSF06ki98lYNLNq5vCB
34,"rockstar (feat. 21 Savage)","Post Malone",4206779,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
35,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",4172502,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
36,Emotionless,Drake,4156072,https://open.spotify.com/track/1v1IXPXl73Z7zy6f5tUa9n
37,"Hopeless Romantic (feat. Swae Lee)","Wiz Khalifa",4128303,https://open.spotify.com/track/7IBSffWIu7P2MC7kMwy2FM
38,"Praise The Lord (Da Shine) (feat. Skepta)","A$AP Rocky",4095518,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
39,"One Kiss (with Dua Lipa)","Calvin Harris",3965186,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
40,"Can’t Take A Joke",Drake,3811354,https://open.spotify.com/track/7cfvP13Bqb1EyCZQiYsLum
41,Elevate,Drake,3793839,https://open.spotify.com/track/4uloft7ZE54WflsuqFmjC7
