,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,rockstar,"Post Malone",9855305,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx
2,"Finesse - Remix; feat. Cardi B","Bruno Mars",8504248,https://open.spotify.com/track/3Vo4wInECJQuz9BIBMOu8i
3,"No Limit",G-Eazy,7685058,https://open.spotify.com/track/2DQ1ITjI0YoLFzuADN1ZBW
4,"Bartier Cardi (feat. 21 Savage)","Cardi B",7439471,https://open.spotify.com/track/75FDPwaULRdYDn4StFN2rT
5,"I Fall Apart","Post Malone",6971450,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
6,"Ric Flair Drip (& Metro Boomin)",Offset,6419256,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
7,"All The Stars (with SZA)","Kendrick Lamar",6406373,https://open.spotify.com/track/66kQ7wr4d2LwwSjr7HXcyr
8,"Him & I (with Halsey)",G-Eazy,6239280,https://open.spotify.com/track/5k38wzpLb15YgncyWdTZE4
9,Havana,"Camila Cabello",5860925,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb
10,"LOVE. FEAT. ZACARI.","Kendrick Lamar",5657847,https://open.spotify.com/track/6PGoSes0D9eUDeeAafB2As
11,"Codeine Dreaming (feat. Lil Wayne)","Kodak Black",5505158,https://open.spotify.com/track/4DTpngLjoHj5gFxEZFeD3J
12,"Let You Down",NF,5215443,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr
13,"Candy Paint","Post Malone",5110437,https://open.spotify.com/track/42CeaId2XNlxugDvyqHfDf
14,Filthy,"Justin Timberlake",5048103,https://open.spotify.com/track/1L3NV7VrCiuE8C5QlhdeQL
15,"Gucci Gang","Lil Pump",4996794,https://open.spotify.com/track/43ZyHQITOjhciSUUNPVRHc
16,"River (feat. Ed Sheeran)",Eminem,4875212,https://open.spotify.com/track/5UEnHoDYpsxlfzWLZIc7LD
17,"XO Tour Llif3","Lil Uzi Vert",4828478,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
18,"PICK IT UP (feat. A$AP Rocky)","Famous Dex",4680932,https://open.spotify.com/track/3ncgNpxLoBQ65ABk4djDyd
19,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld",4589237,https://open.spotify.com/track/5AEtlRudpgdT5FtNiuly6Y
20,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",4497907,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn
21,MotorSport,Migos,4457378,https://open.spotify.com/track/1YZfcVLbbJwfizR5cDOp3q
22,"Bank Account","21 Savage",4419534,https://open.spotify.com/track/2fQrGHiQOvpL9UgPvtYy6G
