,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"God's Plan",Drake,23813466,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
2,"All The Stars (with SZA)","Kendrick Lamar",11788229,https://open.spotify.com/track/2Imq77E6CEJR5TPUxlJvTY
3,"Look Alive (feat. Drake)","BlocBoy JB",11198053,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
4,Mine,Bazzi,9089685,https://open.spotify.com/track/6tHWl8ows5JOZq9Yfaqn3M
5,"Pray For Me (with Kendrick Lamar)","The Weeknd",8638003,https://open.spotify.com/track/4ofvoCdXq99vpMZO4Cfp8x
6,"Stir Fry",Migos,8542568,https://open.spotify.com/track/2UVbBKQOdFAekPTRsnkzcf
7,"King's Dead (with Kendrick Lamar, Future & James Blake)","Jay Rock",7538428,https://open.spotify.com/track/51rXHuKN8Loc4sUlKPODgH
8,"The Middle",Zedd,7006684,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
9,rockstar,"Post Malone",6777432,https://open.spotify.com/track/2U7Hu2RaNQNRi7izoJyZaX
10,"I Fall Apart","Post Malone",6368860,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
11,"Love Lies (with Normani)",Khalid,6209867,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
12,"Ric Flair Drip (& Metro Boomin)",Offset,5668811,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
13,"X (with 2 Chainz & Saudi)","ScHoolboy Q",5543125,https://open.spotify.com/track/4LmAnpjlhWTahvRkYR8xJa
14,Narcos,Migos,5512933,https://open.spotify.com/track/0wbnC9AUenxp613TYaJsGK
15,"The Ways (with Swae Lee)",Khalid,5427862,https://open.spotify.com/track/5jyyPsIGM2yqkZN9R3TmvN
16,"Finesse - Remix; feat. Cardi B","Bruno Mars",5395258,https://open.spotify.com/track/3Vo4wInECJQuz9BIBMOu8i
17,"LOVE. FEAT. ZACARI.","Kendrick Lamar",5031544,https://open.spotify.com/track/6PGoSes0D9eUDeeAafB2As
18,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",4927549,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn
19,"Never Be the Same","Camila Cabello",4705659,https://open.spotify.com/track/4eWQlBRaTjPPUlzacqEeoQ
20,FRIENDS,Marshmello,4494903,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
21,"Sky Walker (feat. Travis Scott)",Miguel,4428991,https://open.spotify.com/track/5WoaF1B5XIEnWfmb5NZikf
22,Paramedic!,"SOB X RBE",4363719,https://open.spotify.com/track/2tPcTFiQF9MbVUyjZ3zDhA
23,Betrayed,"Lil Xan",4335377,https://open.spotify.com/track/6NWl2m8asvH83xjuXVNsuG
24,"Havana (feat. Young Thug)","Camila Cabello",4276479,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
25,"Bartier Cardi (feat. 21 Savage)","Cardi B",4249742,https://open.spotify.com/track/75FDPwaULRdYDn4StFN2rT
26,"PICK IT UP (feat. A$AP Rocky)","Famous Dex",4244306,https://open.spotify.com/track/3ncgNpxLoBQ65ABk4djDyd
27,"No Limit",G-Eazy,4239226,https://open.spotify.com/track/2DQ1ITjI0YoLFzuADN1ZBW
28,"XO Tour Llif3","Lil Uzi Vert",4201302,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
29,IDGAF,"Dua Lipa",3959349,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
30,"Him & I (with Halsey)",G-Eazy,3893355,https://open.spotify.com/track/5k38wzpLb15YgncyWdTZE4
31,"Big Shot (with Travis Scott)","Kendrick Lamar",3824438,https://open.spotify.com/track/5cXg9IQS34FzLVdHhp7hu7
32,MotorSport,Migos,3808811,https://open.spotify.com/track/4wFjTWCunQFKtukqrNijEt
33,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld",3794512,https://open.spotify.com/track/5AEtlRudpgdT5FtNiuly6Y
34,HUMBLE.,"Kendrick Lamar",3783335,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
35,"Let You Down",NF,3781617,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr
36,"Nowadays (feat. Landon Cube)","Lil Skies",3769454,https://open.spotify.com/track/2u7mxWSeoqTXndK5e08jMp
37,"Plain Jane","A$AP Ferg",3745224,https://open.spotify.com/track/4dVpf9jZjcORqGTLUaeYj9
38,"Candy Paint","Post Malone",3694473,https://open.spotify.com/track/42CeaId2XNlxugDvyqHfDf
39,"Bank Account","21 Savage",3621821,https://open.spotify.com/track/2fQrGHiQOvpL9UgPvtYy6G
40,Congratulations,"Post Malone",3579352,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
41,"New Freezer (feat. Kendrick Lamar)","Rich The Kid",3514493,https://open.spotify.com/track/4pYZLpX23Vx8rwDpJCpPTA
42,"River (feat. Ed Sheeran)",Eminem,3480160,https://open.spotify.com/track/5UEnHoDYpsxlfzWLZIc7LD
43,"Say Something (feat. Chris Stapleton)","Justin Timberlake",3476344,https://open.spotify.com/track/1LhMopPAallLeaeNutqbgS
44,"Young Dumb & Broke",Khalid,3474671,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
45,"Bounce Out With That","YBN Nahmir",3459220,https://open.spotify.com/track/5lZsh9Qf7CbHI9Fcc7Zcsq
46,"Walk It Talk It",Migos,3419780,https://open.spotify.com/track/6n4U3TlzUGhdSFbUUhTvLP
47,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,3356383,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
48,Perfect,"Ed Sheeran",3337903,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
49,"Codeine Dreaming (feat. Lil Wayne)","Kodak Black",3313690,https://open.spotify.com/track/4DTpngLjoHj5gFxEZFeD3J
50,"Sick Boy","The Chainsmokers",3223526,https://open.spotify.com/track/2IKZkwHI5zsZf70STuhvOX
51,"Capital Letters","Hailee Steinfeld",3109732,https://open.spotify.com/track/3towKHKVOXCCcL1fHv6xFO
52,"New Rules","Dua Lipa",2907855,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
53,Location,Khalid,2878599,https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif
54,"I Get the Bag (feat. Migos)","Gucci Mane",2868746,https://open.spotify.com/track/1XRgIKC5TPwo7nWGyKqgG0
55,"Black Panther","Kendrick Lamar",2862011,https://open.spotify.com/track/5qN4HFkapdAOV94XPryVof
