,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"SICKO MODE","Travis Scott",19657392,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
2,"In My Feelings",Drake,16740738,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
3,STARGAZING,"Travis Scott",16135390,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m
4,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,13705250,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
5,CAROUSEL,"Travis Scott",10496055,https://open.spotify.com/track/7KZ5MMVgBVox9ycroB2UrI
6,"Lucid Dreams","Juice WRLD",10164183,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
7,YOSEMITE,"Travis Scott",9010555,https://open.spotify.com/track/7lAK3oHbfEnvUQWosrMMpR
8,"R.I.P. SCREW","Travis Scott",8857114,https://open.spotify.com/track/4SZepBIPDRwPaHIjAKwRDb
9,"WAKE UP","Travis Scott",8834140,https://open.spotify.com/track/20MuVazoNMv6xjKPnRFOxG
10,"NO BYSTANDERS","Travis Scott",8706848,https://open.spotify.com/track/6OaVWaGfhXn70ZJfdVcabn
11,"No Brainer","DJ Khaled",8378119,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
12,"STOP TRYING TO BE GOD","Travis Scott",8203081,https://open.spotify.com/track/1xYpVRspgaLxdJLOTQkTjg
13,"5% TINT","Travis Scott",8082395,https://open.spotify.com/track/11kDth1aKUEUMq9r1pqyds
14,SAD!,XXXTENTACION,7880680,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
15,"CAN'T SAY","Travis Scott",7609855,https://open.spotify.com/track/27a1mYSG5tYg7dmEjWBcmL
16,"Taste (feat. Offset)",Tyga,7430646,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
17,NC-17,"Travis Scott",7413935,https://open.spotify.com/track/6BJbOXDlgVAXSaq6wYFYT2
18,"I Like It","Cardi B",7392168,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
19,"Eastside (with Halsey & Khalid)","benny blanco",7329140,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
20,SKELETONS,"Travis Scott",7074891,https://open.spotify.com/track/6NMtzpDQBTOfJwMzgMX0zl
21,"WHO? WHAT!","Travis Scott",6967068,https://open.spotify.com/track/4KYS9GK68yeuUJ8vJfPxrq
22,Nonstop,Drake,6959917,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
23,ASTROTHUNDER,"Travis Scott",6784048,https://open.spotify.com/track/4MXhiYIRDMGAuvZc5IFTwC
24,"Better Now","Post Malone",6677790,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
25,Moonlight,XXXTENTACION,6636800,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
26,"BUTTERFLY EFFECT","Travis Scott",6614930,https://open.spotify.com/track/6xcJyGpfZbuuiequtnlKt4
27,"Girls Like You (feat. Cardi B)","Maroon 5",6540711,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
28,HOUSTONFORNICATION,"Travis Scott",6278045,https://open.spotify.com/track/58TaFP5j5i9swOf584yon2
29,"God is a woman","Ariana Grande",5764304,https://open.spotify.com/track/7gkWXbAxIYuvtOpcN3p9GJ
