,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Better Now","Post Malone",21229827,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
2,"Psycho (feat. Ty Dolla $ign)","Post Malone",18050828,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
3,Paranoid,"Post Malone",17367198,https://open.spotify.com/track/3fpVWegR6YOS1Yk5HSMYIq
4,"Spoil My Night (feat. Swae Lee)","Post Malone",14913159,https://open.spotify.com/track/5VuxWXbt7XENQCtE9TzpTv
5,"Rich & Sad","Post Malone",14843589,https://open.spotify.com/track/2VdT56BGpdqNHUgOe1j5vc
6,Stay,"Post Malone",14699696,https://open.spotify.com/track/4H7WNRErSbONkM06blBoGc
7,"Nice For What",Drake,14670828,https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN
8,"Over Now","Post Malone",13322831,https://open.spotify.com/track/09IOPhEh1OMe0HD9b36FJk
9,"Ball For Me (feat. Nicki Minaj)","Post Malone",13224032,https://open.spotify.com/track/6IaieqiCVvsNvEt6Y7yOFa
10,"Zack And Codeine","Post Malone",13100662,https://open.spotify.com/track/5lZZmityu9TAjNvSY6GLhR
11,"rockstar (feat. 21 Savage)","Post Malone",12370765,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
12,"Takin' Shots","Post Malone",12318544,https://open.spotify.com/track/5ffntNJnJOeFv7b7DCd0Bw
13,"Same Bitches (feat. G-Eazy & YG)","Post Malone",12010143,https://open.spotify.com/track/688QpQAwqsLdBR6lr13wK1
14,"92 Explorer","Post Malone",11083324,https://open.spotify.com/track/1D2L6MefbXon28PzIk9I3r
15,Otherside,"Post Malone",10537783,https://open.spotify.com/track/4qWCFTuNnmGNdY4egtb4ZY
16,"God's Plan",Drake,10342154,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
17,"Candy Paint","Post Malone",10274908,https://open.spotify.com/track/32lItqlMi4LBhb4k0BaSaC
18,"Blame It On Me","Post Malone",10004527,https://open.spotify.com/track/1ZemPoaj7LBj1RAQrb89EC
19,KOD,"J. Cole",9044353,https://open.spotify.com/track/7yotKA30dwTKNEGomV9ZsI
20,"I Like It","Cardi B",8601256,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
21,"Sugar Wraith","Post Malone",8512865,https://open.spotify.com/track/0MrRAUcB8AZiB9ue2VOBYe
22,"Look Alive (feat. Drake)","BlocBoy JB",8080997,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
23,"no tears left to cry","Ariana Grande",7854779,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
24,SAD!,XXXTENTACION,7427711,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
25,"Jonestown (Interlude)","Post Malone",6910619,https://open.spotify.com/track/0R6Jlsq25eZB3Wftpxi3oF
26,"Kevin’s Heart","J. Cole",6885366,https://open.spotify.com/track/6tZ3b7ik1QDXFAZlXib0YZ
27,"Plug Walk","Rich The Kid",6785568,https://open.spotify.com/track/6mAz8D1TmlTuef90dbNIiZ
28,"Call Out My Name","The Weeknd",6614934,https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N
