,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Nice For What",Drake,18346125,https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN
2,"God's Plan",Drake,13473096,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
3,"Psycho (feat. Ty Dolla $ign)","Post Malone",10636718,https://open.spotify.com/track/65NwOZqoXny4JxqAPlfxRF
4,"Look Alive (feat. Drake)","BlocBoy JB",10495518,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
5,"Call Out My Name","The Weeknd",10422044,https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N
6,SAD!,XXXTENTACION,9856972,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
7,"Plug Walk","Rich The Kid",8789836,https://open.spotify.com/track/6mAz8D1TmlTuef90dbNIiZ
8,"I Like It","Cardi B",7821295,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
9,"Freaky Friday (feat. Chris Brown)","Lil Dicky",7424244,https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ
10,"Be Careful","Cardi B",7337089,https://open.spotify.com/track/2Yl4OmDby9iitgNWZPwxkd
11,"Walk It Talk It",Migos,6756789,https://open.spotify.com/track/6n4U3TlzUGhdSFbUUhTvLP
12,"I Do (feat. SZA)","Cardi B",6448556,https://open.spotify.com/track/1f5PNhkNgUpvDEeZfcIlO1
13,"Love Lies (with Normani)",Khalid,6237182,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
14,JAPAN,"Famous Dex",6172814,https://open.spotify.com/track/5PTG6rrL6EPFD9E2QMI2pl
15,"Wasted Times","The Weeknd",5999683,https://open.spotify.com/track/72TyiiduRmczEbDIEtKQdR
16,"Ric Flair Drip (& Metro Boomin)",Offset,5774460,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
17,"Drip (feat. Migos)","Cardi B",5725837,https://open.spotify.com/track/2qcG0nZ6S3zZV0UrkY5nFo
18,Mine,Bazzi,5681561,https://open.spotify.com/track/2lYjH3ZbCrW7CHmSRvVCN3
19,"The Middle",Zedd,5670181,https://open.spotify.com/track/2ARqIya5NAuvFVHSN3bL0m
20,Moonlight,XXXTENTACION,5646510,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
21,"Try Me","The Weeknd",5496568,https://open.spotify.com/track/2poOAWEj1CStqTVPgIHZ8s
22,"All The Stars (with SZA)","Kendrick Lamar",5413730,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
23,"Powerglide (feat. Juicy J)","Rae Sremmurd",5328922,https://open.spotify.com/track/2yUbCEiaolfSMluDo9RMmG
24,"Best Life (feat. Chance The Rapper)","Cardi B",5325131,https://open.spotify.com/track/00B7TZ0Xawar6NZ00JFomN
25,"Get Up 10","Cardi B",5321331,https://open.spotify.com/track/7p2ewixAShLpjDZrnzZK7c
26,"Bartier Cardi (feat. 21 Savage)","Cardi B",5269383,https://open.spotify.com/track/0dIoGTQXDh1wVnhIiSyYEa
27,Bickenhead,"Cardi B",5189170,https://open.spotify.com/track/17Yq72h0p15OhCbZ5lJ5gd
28,rockstar,"Post Malone",5063398,https://open.spotify.com/track/2U7Hu2RaNQNRi7izoJyZaX
29,"Stir Fry",Migos,5052415,https://open.spotify.com/track/2UVbBKQOdFAekPTRsnkzcf
30,"Ring (feat. Kehlani)","Cardi B",5012235,https://open.spotify.com/track/5DfWF0jqMgZDCiu9zJENTA
31,"One Kiss (with Dua Lipa)","Calvin Harris",4985488,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
