,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"God's Plan",Drake,20829362,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
2,"Psycho (feat. Ty Dolla $ign)","Post Malone",16372667,https://open.spotify.com/track/65NwOZqoXny4JxqAPlfxRF
3,"Look Alive (feat. Drake)","BlocBoy JB",11287515,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
4,SAD!,XXXTENTACION,9968458,https://open.spotify.com/track/35ieKju5aLWFN5UgfJ27mL
5,"All The Stars (with SZA)","Kendrick Lamar",9885457,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
6,"Stir Fry",Migos,8209517,https://open.spotify.com/track/2UVbBKQOdFAekPTRsnkzcf
7,Mine,Bazzi,8099854,https://open.spotify.com/track/6tHWl8ows5JOZq9Yfaqn3M
8,"The Middle",Zedd,7664089,https://open.spotify.com/track/2ARqIya5NAuvFVHSN3bL0m
9,"Pray For Me (with Kendrick Lamar)","The Weeknd",7344979,https://open.spotify.com/track/4ofvoCdXq99vpMZO4Cfp8x
10,"King's Dead (with Kendrick Lamar, Future & James Blake)","Jay Rock",7319921,https://open.spotify.com/track/51rXHuKN8Loc4sUlKPODgH
11,"Love Lies (with Normani)",Khalid,6893523,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
12,rockstar,"Post Malone",6577726,https://open.spotify.com/track/2U7Hu2RaNQNRi7izoJyZaX
13,"I Fall Apart","Post Malone",6527937,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
14,"Ric Flair Drip (& Metro Boomin)",Offset,6473521,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
15,Everyday,Logic,5843412,https://open.spotify.com/track/6zOhgKfbMiQWToE6K13s2s
16,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",5209637,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn
17,FRIENDS,Marshmello,5158569,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
18,Narcos,Migos,4962760,https://open.spotify.com/track/0wbnC9AUenxp613TYaJsGK
19,changes,XXXTENTACION,4768170,https://open.spotify.com/track/4PANCoXZX3RaT2D6mqSdEU
20,"44 More",Logic,4716223,https://open.spotify.com/track/6iyp6udVpLuq3MCUulZT4h
21,"Finesse - Remix; feat. Cardi B","Bruno Mars",4650522,https://open.spotify.com/track/3Vo4wInECJQuz9BIBMOu8i
22,"Never Be the Same","Camila Cabello",4441176,https://open.spotify.com/track/4eWQlBRaTjPPUlzacqEeoQ
23,"LOVE. FEAT. ZACARI.","Kendrick Lamar",4416826,https://open.spotify.com/track/6PGoSes0D9eUDeeAafB2As
24,IDGAF,"Dua Lipa",4189086,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
25,"Sky Walker (feat. Travis Scott)",Miguel,4166751,https://open.spotify.com/track/5WoaF1B5XIEnWfmb5NZikf
26,Betrayed,"Lil Xan",4165842,https://open.spotify.com/track/6NWl2m8asvH83xjuXVNsuG
27,"Top Off (feat. JAY Z, Future & Beyoncé)","DJ Khaled",4151246,https://open.spotify.com/track/1W6wxOOYyJyyok8fqYSZ3m
28,"PICK IT UP (feat. A$AP Rocky)","Famous Dex",4102787,https://open.spotify.com/track/3ncgNpxLoBQ65ABk4djDyd
29,"XO Tour Llif3","Lil Uzi Vert",4092520,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
30,"Bounce Out With That","YBN Nahmir",4017788,https://open.spotify.com/track/5lZsh9Qf7CbHI9Fcc7Zcsq
31,"New Freezer (feat. Kendrick Lamar)","Rich The Kid",4007559,https://open.spotify.com/track/4pYZLpX23Vx8rwDpJCpPTA
32,"Nowadays (feat. Landon Cube)","Lil Skies",3978896,https://open.spotify.com/track/2u7mxWSeoqTXndK5e08jMp
33,"Havana (feat. Young Thug)","Camila Cabello",3850559,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
34,"Candy Paint","Post Malone",3847763,https://open.spotify.com/track/42CeaId2XNlxugDvyqHfDf
35,"Powerglide (feat. Juicy J)","Rae Sremmurd",3777817,https://open.spotify.com/track/2yUbCEiaolfSMluDo9RMmG
36,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,3777416,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
37,Congratulations,"Post Malone",3761824,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
38,"X (with 2 Chainz & Saudi)","ScHoolboy Q",3718156,https://open.spotify.com/track/4LmAnpjlhWTahvRkYR8xJa
39,"No Limit",G-Eazy,3563683,https://open.spotify.com/track/2DQ1ITjI0YoLFzuADN1ZBW
