,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"thank u, next","Ariana Grande",22461370,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
2,"Mo Bamba","Sheck Wes",11193239,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr
3,"SICKO MODE","Travis Scott",9906226,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
4,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",9748682,https://open.spotify.com/track/7l3E7lcozEodtVsSTCkcaA
5,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",9376246,https://open.spotify.com/track/1A6OTy97kk0mMdm78rHsm8
6,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",9000514,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
7,"Without Me",Halsey,8759325,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
8,"Arms Around You (feat. Maluma & Swae Lee)",XXXTENTACION,6880628,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh
9,"Lucid Dreams","Juice WRLD",6857720,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
10,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",6676190,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
11,"10 Freaky Girls (with 21 Savage)","Metro Boomin",6572352,https://open.spotify.com/track/43lYaovU2FoeuBMNusVVVW
12,Happier,Marshmello,6422574,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
13,"MIA (feat. Drake)","Bad Bunny",6247512,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
14,"when the party's over","Billie Eilish",6223972,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI
15,"Don't Come Out The House (with 21 Savage)","Metro Boomin",5885731,https://open.spotify.com/track/1m6lqaLvUTxPjOo98fJH8U
