,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"In My Feelings",Drake,23616199,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
2,"Lucid Dreams","Juice WRLD",11553559,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
3,SAD!,XXXTENTACION,9574548,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
4,"Taste (feat. Offset)",Tyga,9462424,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
5,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,9159048,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
6,"I Like It","Cardi B",8893489,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
7,Nonstop,Drake,8889140,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
8,Moonlight,XXXTENTACION,8011082,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
9,"God is a woman","Ariana Grande",7856417,https://open.spotify.com/track/7gkWXbAxIYuvtOpcN3p9GJ
10,"Better Now","Post Malone",7309922,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
11,"Girls Like You (feat. Cardi B)","Maroon 5",6973413,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
12,"Nice For What",Drake,6771298,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw
13,"Yes Indeed","Lil Baby",6641906,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
14,"Don’t Matter To Me (with Michael Jackson)",Drake,6347269,https://open.spotify.com/track/6G8kHiVZ1jW7vHMPVRNZU0
15,"Eastside (with Halsey & Khalid)","benny blanco",6254560,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
16,"God's Plan",Drake,5933821,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
17,"I'm Upset",Drake,5589398,https://open.spotify.com/track/3qN5qMTKyEEmiTZD38BNTT
18,"I Might Need Security","Chance the Rapper",5553762,https://open.spotify.com/track/3EApebexZ7YqDIqw2EMTDh
19,"Psycho (feat. Ty Dolla $ign)","Post Malone",5249780,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
20,Youngblood,"5 Seconds of Summer",5190258,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
21,"Jocelyn Flores",XXXTENTACION,4935333,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
